feature_set,feature_count,model,model_group,valid_mae,valid_rmse,valid_r2,valid_directional_accuracy,selected,holdout_mae,holdout_rmse,holdout_r2,holdout_directional_accuracy
current_all_features,68,extra_trees_depth_6,base,0.038620281195655276,0.0508305284953258,-0.028316434305951654,0.5104685942173479,True,0.04200197369691723,0.05285903745052335,0.014131190622801437,0.5423728813559322
top35_plus_aggregates,90,ensemble_top3_weighted_rmse,ensemble,0.03876970771181964,0.05102594168790595,-0.036238164161224384,0.5094715852442672,True,0.04230745939324279,0.05321093667346328,0.0009610201472355362,0.5324027916251246
drop_bottom_35pct_plus_aggregates,99,ensemble_top3_weighted_rmse,ensemble,0.03876902597355411,0.051046586041073504,-0.03707682753358488,0.5064805583250249,True,0.0423161088485233,0.0532250669703344,0.00043035511412314875,0.53938185443669
top45_plus_aggregates,100,ensemble_top3_weighted_rmse,ensemble,0.038720727648139615,0.05098825963342316,-0.03470823003051504,0.5124626121635095,True,0.04233114075587433,0.05325752199933247,-0.0007890309550560026,0.5503489531405783
top25_plus_aggregates,80,ensemble_top3_weighted_rmse,ensemble,0.03868568070247969,0.050927892365749294,-0.03225960624673596,0.5114656031904287,True,0.04236333304135431,0.053298157740071836,-0.002316827102247121,0.5254237288135594
aggregates_only_plus_core,61,extra_trees_depth_8,base,0.03846421337126828,0.05090474992912733,-0.031321669346700665,0.5284147557328016,True,0.04240883170382788,0.05340034201794321,-0.0061638344782011245,0.5254237288135594
top35_plus_aggregates,90,extra_trees_depth_6,base,0.0386157175095781,0.05084075121300758,-0.02873009302560048,0.5054835493519442,False,0.04200515232313948,0.05290687888503457,0.012345811074590651,0.5294117647058824
drop_bottom_35pct_plus_aggregates,99,extra_trees_depth_6,base,0.03857005567753928,0.05079785993871739,-0.026995070180655834,0.4985044865403789,False,0.04204882638898046,0.05292220120915632,0.011773660561331778,0.53938185443669
current_all_features,68,extra_trees_depth_8,base,0.038798369533823714,0.0512192251458955,-0.044103458888348435,0.5064805583250249,False,0.04207238844789896,0.05294412750552721,0.010954623114306616,0.53938185443669
current_all_features,68,ensemble_top3_weighted_rmse,ensemble,0.038802185208678654,0.05095685619438735,-0.03343407826354294,0.5084745762711864,False,0.04207950353034612,0.05298233470461097,0.009526616250681186,0.53938185443669
