Date,window_start,window_end,actual_return_5d,predicted_return_5d,abs_return_error,article_count,weighted_news_score,max_weekly_strength_score,news_direction,news_aligned_with_actual_move,strong_weekly_news_effect,top_news_titles,news_explanation
2023-01-24,2023-01-20,2023-01-31,0.1370033973117421,0.0020892914053127,0.1349141059064294,8,0.0,0.5,mixed/none,False,False,Arabica Coffee 4/5 Futures Historical Prices - Investing.com | Coffee - Price - Chart - Historical Data - News | Coffee Arabica Price (Monthly) - Historical Data & Trends,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2024-03-28,2024-03-24,2024-04-04,0.1252316289760719,0.0001010767542608,0.1251305522218111,8,0.0,0.75,mixed/none,False,False,Coffee - Price - Chart - Historical Data - News | Coffee C Futures Pricing | Arabica Coffee Prices at 2024-Lows - TRADING ECONOMICS,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2024-04-10,2024-04-06,2024-04-17,0.1551362869724413,-0.0010314345437674,0.1561677215162087,8,0.0,0.75,mixed/none,False,False,Arabica Coffee 4/5 Futures Historical Prices - Investing.com | Coffee C Futures Pricing | Arabica Coffee 4/5 Futures Price Today - Investing.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2024-04-29,2024-04-25,2024-05-06,-0.1406551302687657,-0.0165908488066362,0.1240642814621295,8,0.0,0.5,mixed/none,False,False,Arabica Coffee 4/5 Futures Historical Prices - Investing.com | Coffee C Futures Pricing | Coffee (Arabica) price information - FT.com,moderate/weak mixed news signal versus an actual downward weekly move; matched: no high-impact keyword cluster.
2024-07-01,2024-06-27,2024-07-08,0.1116012500764791,-0.0138124792264988,0.1254137293029779,8,0.0,0.5,mixed/none,False,False,Coffee Jul '24 Futures Price - Barchart.com | Coffee (Arabica) price information - FT.com | Arabica Coffee 4/5 Futures Historical Prices - Investing.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2024-11-19,2024-11-15,2024-11-26,0.1158176725522228,-0.0038757591746088,0.1196934317268317,0,0.0,0.0,mixed/none,False,False,,No relevant dated public-news result found in the search window.
2024-12-02,2024-11-28,2024-12-09,0.1106282561346756,-0.0122225130831095,0.1228507692177851,8,0.0,0.75,mixed/none,False,False,Coffee C Futures Pricing | Coffee Dec '24 Futures Price - Barchart.com | Coffee (Arabica) price information - FT.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2024-12-03,2024-11-29,2024-12-10,0.1274772594334372,-0.0086943763121661,0.1361716357456034,8,0.0,0.5,mixed/none,False,False,Coffee (Arabica) price information - FT.com | Coffee C Futures Pricing | Coffee Arabica Price (Monthly) - Historical Data & Trends,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2025-02-03,2025-01-30,2025-02-10,0.1264111175322566,-0.0067271051144326,0.1331382226466892,8,-3.0,2.0,bearish,False,False,Coffee Cost Crisis Estimated to Ease With Predictions of 30% Fall by ... | Arabica coffee prices seen falling 30% by end-2025 | Reuters | Coffee C Futures Pricing,"moderate/weak bearish news signal versus an actual upward weekly move; matched: ease, falling."
2025-04-21,2025-04-17,2025-04-28,0.1492639090023697,-7.315529193454669e-05,0.1493370642943043,8,-3.0,2.0,bearish,False,False,Arabica Coffee 4/5 Futures Historical Prices - Investing.com | Arabica Coffee 4/5 Futures Price Today - Investing.com | Coffee (Arabica) price information - FT.com,moderate/weak bearish news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2025-08-12,2025-08-08,2025-08-19,0.1302554945440688,-0.0013656411838303,0.1316211357278991,8,0.0,0.5,mixed/none,False,False,Coffee - Price - Chart - Historical Data - News | Coffee C Futures Pricing | Coffee (Arabica) price information - FT.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2025-08-13,2025-08-09,2025-08-20,0.1271902162708913,0.0001076701241864,0.1270825461467049,8,0.0,0.5,mixed/none,False,False,Coffee - Price - Chart - Historical Data - News | Coffee C Futures Pricing | Coffee Prices and Coffee Futures Prices - Barchart.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2025-08-14,2025-08-10,2025-08-21,0.1493108728943337,0.0001378120463599,0.1491730608479738,8,0.0,0.5,mixed/none,False,False,Coffee - Price - Chart - Historical Data - News | Coffee C Futures Pricing | Coffee (Arabica) price information - FT.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
