model,approach,paper_keys,feature_group,phase,rows,date_start,date_end,rmse,mae,median_absolute_error,mean_error_bias,nrmse_target_std,smape,r2,pearson_correlation,price_rmse,price_mae,directional_accuracy,balanced_accuracy,precision_positive,recall_positive,f1_positive,specificity_negative,matthews_correlation,roc_auc,average_precision,naive_binomial_accuracy_p_value_vs_50pct,tn,fp,fn,tp,strategy_observations_non_overlapping,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_win_rate,strategy_average_turnover,transaction_cost_bps,residual_autocorrelation_lag1,residual_autocorrelation_lag5,residual_autocorrelation_lag20,residual_std,fit_predict_seconds
zero_return,No-change return benchmark,arima_coffee_forecasting,none,validation,998,2018-09-12,2022-08-29,0.05047854164353259,0.03839845322777792,0.030085527944023,-0.005798520301255453,1.0061592261071859,1.9919820445195406,-0.01337179087668039,,7.508257818459822,5.425551114435903,0.48897795591182364,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5110220440881763,0.7667004366791971,488,0,510,0,200,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.7813452394281886,-0.07517222125911883,-0.031237908274034186,0.05016953612683478,0.005465416004881263
ar_ridge,Autoregressive return benchmark,"elm_coffee_forecasting,arima_coffee_forecasting",price_history,validation,998,2018-09-12,2022-08-29,0.05053727232387489,0.03809855271224977,0.03073855511892435,-0.005962730002760271,1.0073298703840998,1.638699399867971,-0.015731234536119798,0.06268454867800533,7.4835567817707,5.364047064607063,0.5460921843687375,0.5452306332369014,0.5528756957328386,0.5843137254901961,0.5681601525262154,0.5061475409836066,0.09073125901857369,0.5474566055930569,0.5284640215636203,0.0019738237672792544,247,241,212,298,200,0.3984842712997829,0.0881924583583007,0.3550025872749121,0.4182039168797409,-0.47215790701353233,0.54,0.705,2.0,0.7916732457767323,-0.023065936680249092,0.03830001092763533,0.05020943919937882,0.018815207993611693
arima_111,"ARIMA(1,1,1) on log price with walk-forward state updates","elm_coffee_forecasting,arima_coffee_forecasting,volatility_models",close_only,validation,998,2018-09-12,2022-08-29,0.05048909009651225,0.03839163230656548,0.030287405803618498,-0.006019094142796929,1.006369482246549,1.9432417230476318,-0.013795361813031537,0.0368061540429652,7.505476813604834,5.422766548190985,0.49799599198396793,0.5018402442944391,0.5138461538461538,0.32745098039215687,0.4,0.6762295081967213,0.003926008739399605,0.5203109932497589,0.5267916247520017,0.5628737732293997,330,158,343,167,200,-0.6315730460179538,-0.22246391831731382,0.35475625811941164,-0.5278630171323827,-0.814525696961453,0.475,0.885,2.0,0.7856988658817423,-0.07091995074150892,-0.031201479244197732,0.050154154410565505,0.02985237498069182
simple_exp_smoothing,Simple exponential smoothing on log price,elm_coffee_forecasting,close_only,validation,998,2018-09-12,2022-08-29,0.05046494165604159,0.03838583624685262,0.030426823946007733,-0.005819377063085808,1.0058881455164344,1.9418658454520694,-0.012825816818365254,0.03728019467507513,7.5027549839394405,5.422090750794987,0.5100200400801603,0.5102017036322726,0.5213849287169042,0.5019607843137255,0.5114885114885115,0.5184426229508197,0.020401071210050564,0.520909675345548,0.5277163515394943,0.273786012553847,253,235,254,256,200,-0.5210152837763034,-0.1693060312598451,0.3554129909351134,-0.3411469378323097,-0.7704692677771381,0.485,0.985,2.0,0.7858621799354868,-0.07070431903887962,-0.03120119579200855,0.05015342055484826,0.010768416977953166
holt_winters_5d,Additive Holt-Winters with five-trading-day seasonality,"elm_coffee_forecasting,volatility_models",close_only,validation,998,2018-09-12,2022-08-29,0.050506810300052864,0.03840884508729963,0.03083572686645219,-0.00555785436198585,1.0067226886923055,1.844723356532556,-0.014507112120370147,-0.014184138800614598,7.504131853259927,5.42697706842845,0.5150300601202404,0.5155456444873031,0.5273109243697479,0.492156862745098,0.5091277890466531,0.5389344262295082,0.0311168050141693,0.5104106396657023,0.5212761007053688,0.17931812467041078,263,225,259,251,200,-0.3595795791670089,-0.10622289977901322,0.3556423692670605,-0.1364721939804706,-0.7216274891409005,0.54,0.375,2.0,0.7889786930221148,-0.06883705827995502,-0.033125561571763655,0.05022525034891476,0.09928441699594259
linear_trend_252d,Rolling linear trend on log price,volatility_models,close_only,validation,998,2018-09-12,2022-08-29,0.09957891801057164,0.07958948691767014,0.06601163056821115,-0.003310587854195139,1.9848482903813152,1.4548643387532882,-2.9435742129969613,0.127379292834172,16.477729705888486,11.940986684024468,0.5150300601202404,0.5155898424943748,0.5274261603375527,0.49019607843137253,0.508130081300813,0.5409836065573771,0.03121130357788028,0.5580560912889746,0.5699445724397236,0.17931812467041078,264,224,260,250,200,0.5806905914015645,0.12230115743666725,0.35476301595866805,0.5015312411949144,-0.33031644227023926,0.55,0.315,2.0,0.9730191427325426,0.8608084786933614,0.5444139607052264,0.09957377026884152,0.02375766698969528
quadratic_trend_252d,Rolling quadratic trend on log price,volatility_models,close_only,validation,998,2018-09-12,2022-08-29,0.08800762064874479,0.06793343101402038,0.055085233454999466,0.00046340795748826775,1.754204392606913,1.3921088000471722,-2.080319543570016,0.10773968316570855,12.366627004048718,9.44777067349724,0.5440881763527055,0.5417671166827387,0.5454545454545454,0.6470588235294118,0.5919282511210763,0.4364754098360656,0.08546445505041636,0.5729026036644166,0.5812628892393371,0.0029305286058945276,213,275,180,330,200,1.7888889894487763,0.29493708741467484,0.35274807662036073,0.9081001025851715,-0.37923115553587716,0.545,0.355,2.0,0.9647723100526683,0.8030759309850041,0.26299105617111834,0.08805052513846325,0.02712920802878216
linear_technical,Linear regression using OHLCV and technical features,coffee_c_ml,technical_ohlcv,validation,998,2018-09-12,2022-08-29,0.05081522921195066,0.038258373138556616,0.03029630956058917,-0.007322704620289333,1.0128702223493455,1.6074465834263325,-0.026935080388533983,0.06998863384159806,7.557307662164131,5.388457987797716,0.5160320641282565,0.5166586306653809,0.5286624203821656,0.48823529411764705,0.5076452599388379,0.5450819672131147,0.03336172769183639,0.544234169077467,0.5346140878089561,0.1632261808968755,266,222,261,249,200,-0.21303543146710713,-0.05858588568680423,0.3556510934857237,0.010652372540045415,-0.5422978667003151,0.495,0.635,2.0,0.7834646535479155,-0.03248023911046537,0.047829014325288965,0.05031005556492758,0.013214084028732032
random_forest_technical,Random Forest using OHLCV and technical features,coffee_c_ml,technical_ohlcv,validation,998,2018-09-12,2022-08-29,0.0504924433147851,0.03808570356324585,0.029888018124396728,-0.006087419216760659,1.006436319983784,1.6054035507846585,-0.013930028134540251,0.09962517999604949,7.524844087126266,5.370263846339582,0.531062124248497,0.5303921568627451,0.539622641509434,0.5607843137254902,0.55,0.5,0.06088715130864309,0.5556653809064609,0.5689705734101154,0.026719174545153965,244,244,224,286,200,0.7276871782310932,0.14773389582376262,0.3545139430234885,0.5628967602224509,-0.5814774493810799,0.52,0.595,2.0,0.7852126188061147,-0.056051947125919904,0.02193642571583997,0.05014927865189851,4.390057249984238
mlp_price_history,Multilayer perceptron using lagged price-history features,elm_coffee_forecasting,price_history,validation,998,2018-09-12,2022-08-29,0.06303395976369283,0.046473609417511746,0.03545857107116694,-0.010665168223346158,1.256419026963598,1.471557923167103,-0.5801721101038337,-0.049236035998565617,9.535382189995845,6.58398215607565,0.4939879759519038,0.49557618129218906,0.5058548009367682,0.4235294117647059,0.4610458911419424,0.5676229508196722,-0.008939028541655507,0.4944230151076824,0.4930739166758719,0.6596394112660338,277,211,294,216,200,-0.5510424621220862,-0.1827484979661832,0.35513753504440343,-0.39258459139689206,-0.7125369366917279,0.425,0.785,2.0,0.6276162733165411,-0.06700151770090017,0.10645931462825634,0.06215629829689002,0.8372982089640573
