model,tn,fp,fn,tp
zero_return,502,0,501,0
ar_ridge,217,285,229,272
arima_111,26,476,22,479
simple_exp_smoothing,249,253,251,250
holt_winters_5d,43,459,47,454
linear_trend_252d,253,249,250,251
quadratic_trend_252d,244,258,253,248
linear_technical,322,180,310,191
random_forest_technical,311,191,326,175
mlp_price_history,267,235,251,250
elm_price_history,239,263,221,280
hedonic_weather_cot_ridge,454,48,447,54
threshold_ar_npi,204,298,194,307
cot_contract_stress_forest,347,155,268,233
hist_gradient_boosting_integrated,309,193,245,256
xgboost_integrated,350,152,235,266
xgboost_regime_aware,338,164,226,275
research_ensemble,271,231,269,232
