model,model_group,valid_mae,valid_rmse,valid_r2,valid_directional_accuracy,holdout_mae,holdout_rmse,holdout_r2,holdout_directional_accuracy
ada_boost_tree,base,0.038748915777426916,0.050732233446040484,-0.024343204600025814,0.5054835493519442,0.04305815450500203,0.05424430039027782,-0.03821870825275764,0.5074775672981057
ensemble_top3_weighted_rmse,ensemble,0.038750443557807615,0.05076895750771585,-0.025826744982360372,0.5004985044865404,0.0422740189629743,0.05314137111835255,0.00357150873602341,0.5274177467597209
ensemble_top3_mean,ensemble,0.0387509276427924,0.05076943479259413,-0.025846032906265082,0.5004985044865404,0.0422733670351813,0.05314077992189078,0.003593679098182534,0.5274177467597209
extra_trees_depth_6,base,0.038620281195655276,0.0508305284953258,-0.028316434305951654,0.5104685942173479,0.04200197369691723,0.05285903745052335,0.014131190622801437,0.5423728813559322
gradient_boosting,base,0.03910422567584258,0.05109766939037092,-0.03915351354515528,0.5034895314057827,0.04224961703126548,0.05319344352795422,0.0016177821835947626,0.5284147557328016
bagged_trees,base,0.038868030963421535,0.051160502748529804,-0.0417107201835718,0.4965104685942173,0.04220879204826092,0.05319265235960139,0.0016474806760481409,0.5353938185443669
extra_trees_depth_8,base,0.038798369533823714,0.0512192251458955,-0.044103458888348435,0.5064805583250249,0.04207238844789896,0.05294412750552721,0.010954623114306616,0.53938185443669
random_forest_depth_6,base,0.038963433809052136,0.051254666660222596,-0.04554890873242812,0.49252243270189433,0.04227148654843503,0.05317783968181509,0.002203430209224644,0.5353938185443669
random_forest_depth_8,base,0.0392275218083481,0.05164536897980908,-0.06154961088718558,0.5124626121635095,0.0427108300813152,0.053763964020378814,-0.019913145489009576,0.5204386839481555
bayesian_ridge,base,0.04101573712443559,0.052624911178846705,-0.102199673327666,0.5473579262213359,0.04240629445176573,0.05403322648393802,-0.03015465288176844,0.4865403788634098
decision_tree_shallow,base,0.040766168091199026,0.052967044234732176,-0.11657783607920047,0.5014955134596212,0.04384726865947212,0.05542339259193575,-0.08384415189429961,0.49252243270189433
knn_25_distance,base,0.04031364532068711,0.05327091553676638,-0.1294261735400386,0.4905284147557328,0.0442201551945005,0.05568612074603303,-0.09414418180087214,0.5094715852442672
elastic_net,base,0.042808505811344266,0.05408515502307846,-0.16421632287506438,0.5333998005982054,,,,
hist_gradient_boosting,base,0.041774052079953494,0.05530848580458501,-0.2174778367758372,0.5024925224327019,,,,
ridge_alpha_3,base,0.05016431153206392,0.06173905765051749,-0.5170417011931883,0.5314057826520439,,,,
ridge_alpha_1,base,0.05369210876196884,0.0657001787772177,-0.7179504318605279,0.5304087736789631,,,,
huber,base,0.05695206125588157,0.07028302566038379,-0.9659769660764379,0.53938185443669,,,,
