dataset,source_file,output_file,source_rows,coffee_c_rows,status,error
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2017/f_year.xls,COT/disaggregated_futures_only/fut_disagg_xls_2017__f_year__coffee_c.csv,10204,52,filtered,
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2018/f_year.xls,COT/disaggregated_futures_only/fut_disagg_xls_2018__f_year__coffee_c.csv,10874,53,filtered,
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2019/f_year.xls,COT/disaggregated_futures_only/fut_disagg_xls_2019__f_year__coffee_c.csv,10954,52,filtered,
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2020/f_year.xls,COT/disaggregated_futures_only/fut_disagg_xls_2020__f_year__coffee_c.csv,10786,52,filtered,
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2021/f_year.xls,COT/disaggregated_futures_only/fut_disagg_xls_2021__f_year__coffee_c.csv,10704,52,filtered,
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2022/f_year.xls,COT/disaggregated_futures_only/fut_disagg_xls_2022__f_year__coffee_c.csv,11526,52,filtered,
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2023/f_year.xls,COT/disaggregated_futures_only/fut_disagg_xls_2023__f_year__coffee_c.csv,12534,52,filtered,
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2024/f_year.xls,COT/disaggregated_futures_only/fut_disagg_xls_2024__f_year__coffee_c.csv,13601,53,filtered,
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2025/f_year.xls,COT/disaggregated_futures_only/fut_disagg_xls_2025__f_year__coffee_c.csv,13630,52,filtered,
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2026/f_year.xls,COT/disaggregated_futures_only/fut_disagg_xls_2026__f_year__coffee_c.csv,9502,35,filtered,
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg06_15.xls,COT/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016__F_DisAgg06_15__coffee_c.csv,59679,499,filtered,
disaggregated_futures_only,raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg16_16.xls,COT/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016__F_DisAgg16_16__coffee_c.csv,10520,52,filtered,
legacy_futures_only,raw_cot_data/legacy_futures_only/dea_fut_xls_2004/annual.xls,COT/legacy_futures_only/dea_fut_xls_2004__annual__coffee_c.csv,3465,52,filtered,
legacy_futures_only,raw_cot_data/legacy_futures_only/dea_fut_xls_2005/annual.xls,COT/legacy_futures_only/dea_fut_xls_2005__annual__coffee_c.csv,3909,52,filtered,
legacy_futures_only,raw_cot_data/legacy_futures_only/dea_fut_xls_2006/annual.xls,COT/legacy_futures_only/dea_fut_xls_2006__annual__coffee_c.csv,4926,52,filtered,
