source_file,source_dataset,source_archive,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg16_16.xls,disaggregated_futures_only,fut_disagg_xls_hist_2006_2016,COFFEE C - ICE FUTURES U.S.,161227,2016-12-27,083731,ICUS,1,83,189312,51773,106791,36778,8477,5278,33880,21484,10099,21723,10635,19467,178998,182231,10314,7081,172080,39891,94698,36339,8529,3310,34300,21661,9370,22871,11498,16274,162355,165340,9725,6740,17232,11882,12093,1932,1441,475,202,445,107,1373,1658,672,16643,16891,589,341,396.0,2603.0,-4959.0,-325.0,29.0,412.0,-2961.0,3394.0,451.0,1566.0,921.0,-319.0,1427.0,-71.0,-1031.0,467.0,100,27.3,56.4,19.4,4.5,2.8,17.9,11.3,5.3,11.5,5.6,10.3,94.6,96.3,5.4,3.7,100,23.2,55.0,21.1,5.0,1.9,19.9,12.6,5.4,13.3,6.7,9.5,94.3,96.1,5.7,3.9,100,69.0,70.2,11.2,8.4,2.8,1.2,2.6,0.6,8.0,9.6,3.9,96.6,98.0,3.4,2.0,386,102.0,93.0,22.0,8.0,10.0,60.0,47.0,36.0,74.0,42.0,64.0,316,254,385.0,100.0,92.0,23.0,7.0,9.0,60.0,47.0,35.0,76.0,45.0,57.0,309.0,248.0,128.0,61.0,45.0,7.0,5.0,,4.0,,,18.0,17.0,12.0,100.0,77.0,12.1,18.4,21.4,28.5,9.7,14.5,17.4,22.9,13.0,18.3,22.7,28.5,10.7,14.2,19.1,23.2,54.0,37.0,65.7,52.1,51.6,36.9,62.9,51.3,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg16_16.xls,disaggregated_futures_only,fut_disagg_xls_hist_2006_2016,COFFEE C - ICE FUTURES U.S.,161220,2016-12-20,083731,ICUS,1,83,188916,49170,111750,37103,8448,4866,36841,18090,9648,20157,9714,19786,177571,182302,11345,6614,171797,37427,99823,36710,8539,2898,37111,18258,9078,21532,10722,16254,161010,165572,10787,6225,17119,11743,11927,1886,1402,475,193,295,107,1431,1798,726,16561,16730,558,389,3208.0,-31.0,-2200.0,-504.0,-72.0,940.0,-468.0,2376.0,65.0,1510.0,498.0,1747.0,3259.0,3354.0,-51.0,-146.0,100,26.0,59.2,19.6,4.5,2.6,19.5,9.6,5.1,10.7,5.1,10.5,94.0,96.5,6.0,3.5,100,21.8,58.1,21.4,5.0,1.7,21.6,10.6,5.3,12.5,6.2,9.5,93.7,96.4,6.3,3.6,100,68.6,69.7,11.0,8.2,2.8,1.1,1.7,0.6,8.4,10.5,4.2,96.7,97.7,3.3,2.3,379,102.0,95.0,22.0,8.0,11.0,59.0,43.0,35.0,75.0,37.0,63.0,315,248,378.0,100.0,93.0,23.0,7.0,10.0,59.0,43.0,34.0,78.0,40.0,56.0,308.0,241.0,123.0,59.0,45.0,7.0,5.0,,4.0,,,17.0,14.0,11.0,96.0,74.0,11.4,19.4,20.7,29.8,9.8,14.9,17.6,23.7,12.3,19.4,22.1,30.0,10.8,14.8,19.4,24.3,55.1,37.3,67.2,53.0,52.6,37.1,64.0,51.3,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg16_16.xls,disaggregated_futures_only,fut_disagg_xls_hist_2006_2016,COFFEE C - ICE FUTURES U.S.,161213,2016-12-13,083731,ICUS,1,83,185708,49201,113950,37607,8520,3926,37309,15714,9583,18647,9216,18039,174312,178948,11396,6760,169562,38349,102225,37082,8402,2160,37296,15882,9296,19689,10388,14822,158694,163175,10868,6387,16146,10852,11725,1816,1409,475,193,12,107,1505,1375,670,15618,15773,528,373,18.0,2445.0,-4640.0,-1377.0,-559.0,-642.0,-6435.0,2571.0,-733.0,3918.0,1188.0,2343.0,-481.0,-472.0,499.0,490.0,100,26.5,61.4,20.3,4.6,2.1,20.1,8.5,5.2,10.0,5.0,9.7,93.9,96.4,6.1,3.6,100,22.6,60.3,21.9,5.0,1.3,22.0,9.4,5.5,11.6,6.1,8.7,93.6,96.2,6.4,3.8,100,67.2,72.6,11.2,8.7,2.9,1.2,0.1,0.7,9.3,8.5,4.1,96.7,97.7,3.3,2.3,374,95.0,93.0,22.0,8.0,11.0,61.0,43.0,30.0,72.0,37.0,61.0,306,241,373.0,94.0,92.0,24.0,6.0,10.0,61.0,43.0,29.0,75.0,40.0,55.0,300.0,236.0,118.0,54.0,45.0,7.0,5.0,,4.0,,,17.0,13.0,10.0,91.0,71.0,12.0,19.0,20.9,29.3,9.8,14.6,17.6,23.4,13.0,18.9,22.4,29.4,10.8,14.4,19.3,23.9,55.4,38.7,68.3,55.5,52.8,38.6,64.9,53.8,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg16_16.xls,disaggregated_futures_only,fut_disagg_xls_hist_2006_2016,COFFEE C - ICE FUTURES U.S.,161206,2016-12-06,083731,ICUS,1,83,185690,46756,118590,38984,9079,4568,43744,13143,10316,14729,8028,15696,174793,179420,10897,6270,169496,35841,106796,39251,9678,2045,43737,13317,10023,15770,9315,12415,159082,163589,10414,5907,16194,10915,11794,1841,1509,415,193,12,107,1542,1296,698,15711,15831,483,363,-759.0,7084.0,-10701.0,-2922.0,546.0,75.0,-7712.0,5010.0,1199.0,1244.0,1842.0,983.0,-49.0,-1046.0,-710.0,287.0,100,25.2,63.9,21.0,4.9,2.5,23.6,7.1,5.6,7.9,4.3,8.5,94.1,96.6,5.9,3.4,100,21.1,63.0,23.2,5.7,1.2,25.8,7.9,5.9,9.3,5.5,7.3,93.9,96.5,6.1,3.5,100,67.4,72.8,11.4,9.3,2.6,1.2,0.1,0.7,9.5,8.0,4.3,97.0,97.8,3.0,2.2,362,96.0,93.0,20.0,9.0,10.0,63.0,36.0,29.0,61.0,42.0,59.0,300,232,361.0,95.0,92.0,21.0,8.0,9.0,63.0,36.0,27.0,65.0,45.0,54.0,293.0,228.0,116.0,50.0,48.0,6.0,5.0,,4.0,,,16.0,12.0,10.0,86.0,73.0,13.0,19.7,22.0,30.3,11.2,15.2,18.5,24.2,14.2,19.7,23.1,30.1,12.2,15.2,20.3,24.7,57.2,39.2,70.1,56.6,54.9,39.1,67.0,54.7,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg16_16.xls,disaggregated_futures_only,fut_disagg_xls_hist_2006_2016,COFFEE C - ICE FUTURES U.S.,161129,2016-11-29,083731,ICUS,1,83,186449,39672,129291,41906,8533,4493,51456,8133,9117,13485,6186,14713,174842,180466,11607,5983,170456,28890,117731,42112,8985,2142,51412,8250,8881,14283,7277,11653,159373,164919,11083,5537,15993,10782,11560,1770,1524,375,173,12,107,1584,1291,678,15469,15547,524,446,-4558.0,2818.0,-4348.0,-447.0,160.0,197.0,-6508.0,279.0,1257.0,324.0,59.0,-2127.0,-4486.0,-4523.0,-72.0,-35.0,100,21.3,69.3,22.5,4.6,2.4,27.6,4.4,4.9,7.2,3.3,7.9,93.8,96.8,6.2,3.2,100,16.9,69.1,24.7,5.3,1.3,30.2,4.8,5.2,8.4,4.3,6.8,93.5,96.8,6.5,3.2,100,67.4,72.3,11.1,9.5,2.3,1.1,0.1,0.7,9.9,8.1,4.2,96.7,97.2,3.3,2.8,360,92.0,95.0,21.0,8.0,9.0,71.0,28.0,32.0,56.0,48.0,58.0,295,235,359.0,90.0,94.0,21.0,8.0,8.0,70.0,29.0,30.0,61.0,48.0,53.0,286.0,232.0,114.0,48.0,47.0,5.0,5.0,,4.0,,,15.0,13.0,11.0,83.0,73.0,12.2,20.9,22.0,33.0,11.9,17.2,20.3,26.4,13.3,21.2,23.9,32.8,13.0,17.9,22.2,27.5,58.3,39.8,71.1,57.3,56.2,39.7,68.4,55.8,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg16_16.xls,disaggregated_futures_only,fut_disagg_xls_hist_2006_2016,COFFEE C - ICE FUTURES U.S.,161122,2016-11-22,083731,ICUS,1,83,191007,36854,133639,42353,8373,4296,57964,7854,7860,13161,6127,16840,179328,184989,11679,6018,175348,26247,122166,42452,8634,2154,57957,7875,7720,13567,7166,14100,164197,169815,11151,5533,15659,10607,11473,1695,1533,348,40,12,107,1606,973,728,15131,15174,528,485,-13823.0,-4576.0,-8103.0,-408.0,1146.0,-754.0,-3217.0,-1372.0,-1183.0,5.0,315.0,-3565.0,-13698.0,-13516.0,-125.0,-307.0,100,19.3,70.0,22.2,4.4,2.2,30.3,4.1,4.1,6.9,3.2,8.8,93.9,96.8,6.1,3.2,100,15.0,69.7,24.2,4.9,1.2,33.1,4.5,4.4,7.7,4.1,8.0,93.6,96.8,6.4,3.2,100,67.7,73.3,10.8,9.8,2.2,0.3,0.1,0.7,10.3,6.2,4.6,96.6,96.9,3.4,3.1,368,87.0,100.0,21.0,8.0,9.0,80.0,23.0,27.0,56.0,45.0,58.0,300,230,367.0,85.0,100.0,21.0,8.0,7.0,80.0,23.0,27.0,58.0,47.0,54.0,293.0,228.0,109.0,43.0,45.0,5.0,5.0,,,,,15.0,12.0,9.0,76.0,69.0,12.4,21.4,21.3,33.5,12.3,18.4,20.5,28.0,13.5,21.7,23.2,33.3,13.4,19.3,22.3,29.0,58.5,40.7,72.5,58.9,56.7,40.6,69.1,57.5,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg16_16.xls,disaggregated_futures_only,fut_disagg_xls_hist_2006_2016,COFFEE C - ICE FUTURES U.S.,161115,2016-11-15,083731,ICUS,1,83,204830,41430,141742,42761,7227,5050,61181,9226,9043,13156,5812,20405,193026,198505,11804,6325,190044,31448,130858,43037,7565,2872,61174,9240,8934,13435,6804,17841,178741,184114,11303,5930,14786,9982,10884,1586,1524,316,28,7,88,1539,826,746,14285,14391,501,395,-19708.0,-469.0,-5327.0,-1635.0,-1631.0,1002.0,-8002.0,-721.0,-9996.0,-2161.0,-3638.0,1873.0,-19388.0,-18438.0,-320.0,-1270.0,100,20.2,69.2,20.9,3.5,2.5,29.9,4.5,4.4,6.4,2.8,10.0,94.2,96.9,5.8,3.1,100,16.5,68.9,22.6,4.0,1.5,32.2,4.9,4.7,7.1,3.6,9.4,94.1,96.9,5.9,3.1,100,67.5,73.6,10.7,10.3,2.1,0.2,0.0,0.6,10.4,5.6,5.0,96.6,97.3,3.4,2.7,375,99.0,102.0,22.0,8.0,12.0,87.0,25.0,30.0,58.0,41.0,61.0,320,239,375.0,99.0,101.0,22.0,8.0,10.0,87.0,25.0,29.0,63.0,41.0,58.0,316.0,236.0,107.0,44.0,43.0,4.0,5.0,,,,,14.0,13.0,6.0,73.0,65.0,11.7,21.0,20.2,32.4,11.6,16.9,19.7,26.2,12.7,21.4,21.7,32.4,12.5,16.9,21.2,26.6,56.9,41.5,71.8,60.5,55.2,41.4,68.4,58.3,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg16_16.xls,disaggregated_futures_only,fut_disagg_xls_hist_2006_2016,COFFEE C - ICE FUTURES U.S.,161108,2016-11-08,083731,ICUS,1,83,224538,41899,147069,44396,8858,4048,69183,9947,19039,15317,9450,18532,212414,216943,12124,7595,210562,32445,136813,44621,9089,2085,69163,9953,18943,15581,10284,15994,198832,203161,11730,7401,13976,9454,10256,1534,1528,204,28,2,88,1426,856,848,13582,13782,394,194,7265.0,4473.0,8391.0,3599.0,574.0,-694.0,3271.0,898.0,81.0,-444.0,1231.0,-3201.0,7085.0,7280.0,180.0,-15.0,100,18.7,65.5,19.8,3.9,1.8,30.8,4.4,8.5,6.8,4.2,8.3,94.6,96.6,5.4,3.4,100,15.4,65.0,21.2,4.3,1.0,32.8,4.7,9.0,7.4,4.9,7.6,94.4,96.5,5.6,3.5,100,67.6,73.4,11.0,10.9,1.5,0.2,0.0,0.6,10.2,6.1,6.1,97.2,98.6,2.8,1.4,410,99.0,106.0,23.0,8.0,11.0,104.0,25.0,42.0,64.0,46.0,68.0,352,260,410.0,98.0,104.0,24.0,7.0,10.0,104.0,25.0,42.0,65.0,49.0,66.0,350.0,256.0,115.0,47.0,46.0,5.0,6.0,,,,,15.0,14.0,7.0,78.0,70.0,10.8,19.2,19.4,31.1,10.7,15.6,18.3,24.4,11.6,19.0,20.5,31.2,11.4,15.8,19.5,25.5,55.2,42.6,71.4,61.8,53.8,42.4,67.7,57.6,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg16_16.xls,disaggregated_futures_only,fut_disagg_xls_hist_2006_2016,COFFEE C - ICE FUTURES U.S.,161101,2016-11-01,083731,ICUS,1,83,217273,37426,138678,40797,8284,4742,65912,9049,18958,15761,8219,21733,205329,209663,11944,7610,204986,28821,129968,41190,8278,3244,65831,9087,18842,16282,8945,19168,193378,197532,11608,7454,12287,8605,8710,1066,1465,39,119,0,78,1072,867,972,11951,12131,336,156,11827.0,-852.0,3740.0,1872.0,572.0,618.0,5204.0,-782.0,4062.0,-1383.0,1121.0,2390.0,11911.0,11721.0,-84.0,106.0,100,17.2,63.8,18.8,3.8,2.2,30.3,4.2,8.7,7.3,3.8,10.0,94.5,96.5,5.5,3.5,100,14.1,63.4,20.1,4.0,1.6,32.1,4.4,9.2,7.9,4.4,9.4,94.3,96.4,5.7,3.6,100,70.0,70.9,8.7,11.9,0.3,1.0,0.0,0.6,8.7,7.1,7.9,97.3,98.7,2.7,1.3,415,95.0,106.0,21.0,8.0,12.0,105.0,24.0,44.0,67.0,48.0,71.0,359,262,415.0,94.0,104.0,23.0,7.0,11.0,105.0,24.0,44.0,72.0,48.0,69.0,357.0,258.0,113.0,48.0,42.0,5.0,6.0,,5.0,0.0,,14.0,13.0,8.0,80.0,65.0,10.8,18.7,19.3,30.1,10.6,15.7,18.2,24.0,11.4,18.3,20.4,30.2,11.2,15.9,19.3,25.3,58.0,46.1,72.8,64.5,57.9,44.0,68.0,58.3,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_hist_2006_2016/F_DisAgg16_16.xls,disaggregated_futures_only,fut_disagg_xls_hist_2006_2016,COFFEE C - ICE FUTURES U.S.,161025,2016-10-25,083731,ICUS,1,83,205446,38278,134938,38925,7712,4124,60708,9831,14896,17144,7098,19343,193418,197942,12028,7504,195583,31628,127422,38743,7740,3603,60605,9847,14802,17582,7918,16954,183917,188286,11666,7297,9863,6650,7516,677,467,26,119,0,78,1058,676,893,9501,9656,362,207,11984.0,153.0,10765.0,20.0,10.0,364.0,6944.0,-403.0,2539.0,1516.0,-2512.0,393.0,11929.0,11156.0,55.0,828.0,100,18.6,65.7,18.9,3.8,2.0,29.5,4.8,7.3,8.3,3.5,9.4,94.1,96.3,5.9,3.7,100,16.2,65.1,19.8,4.0,1.8,31.0,5.0,7.6,9.0,4.0,8.7,94.0,96.3,6.0,3.7,100,67.4,76.2,6.9,4.7,0.3,1.2,0.0,0.8,10.7,6.9,9.1,96.3,97.9,3.7,2.1,425,96.0,107.0,21.0,8.0,12.0,101.0,32.0,44.0,70.0,53.0,69.0,359,272,425.0,95.0,106.0,24.0,7.0,11.0,101.0,32.0,44.0,73.0,55.0,67.0,357.0,269.0,113.0,47.0,41.0,5.0,6.0,,5.0,0.0,,15.0,14.0,6.0,79.0,64.0,11.7,20.0,20.7,31.3,10.9,16.2,18.3,25.2,12.2,19.5,21.7,31.2,11.5,16.7,19.2,26.5,53.8,50.6,67.8,65.2,53.7,44.3,62.4,57.6,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
