source_file,source_dataset,source_archive,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
raw_cot_data/legacy_futures_only/dea_fut_xls_2007/annual_2007.xls,legacy_futures_only,dea_fut_xls_2007,COFFEE C - ICE FUTURES U.S.,71231,2007-12-31,083731,NYBT,1,83,165819,66710,24332,17937,67393,116586,152040,158855,13779,6964,152841,68685,23284,13473,58620,110667,140778,147424,12063,5417,12978,1016,4039,1473,8773,5919,11262,11431,1716,1547,2242.0,-200.0,1634.0,-1292.0,2552.0,1829.0,1060.0,2171.0,1182.0,71.0,100,40.2,14.7,10.8,40.6,70.3,91.7,95.8,8.3,4.2,100,44.9,15.2,8.8,38.4,72.4,92.1,96.5,7.9,3.5,100,7.8,31.1,11.3,67.6,45.6,86.8,88.1,13.2,11.9,357,146,55,58,77,118,258,211,354,152,54,57,72,116,251,208,93,9,24,10,25,48,40,77,20.7,22.3,32.8,33.4,20.7,17.1,31.4,26.7,21.5,23.9,33.6,35.3,21.5,20.7,33.1,31.5,55.9,33.8,72.5,46.4,52.0,27.7,59.9,37.1,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2007/annual_2007.xls,legacy_futures_only,dea_fut_xls_2007,COFFEE C - ICE FUTURES U.S.,71224,2007-12-24,083731,NYBT,1,83,163577,66910,22698,19229,64841,114757,150980,156684,12597,6893,150187,69393,21972,13953,56026,108991,139372,144916,10815,5271,13390,1045,4254,1748,8815,5766,11608,11768,1782,1622,2017.0,2045.0,323.0,498.0,848.0,1542.0,3391.0,2363.0,-1374.0,-346.0,100,40.9,13.9,11.8,39.6,70.2,92.3,95.8,7.7,4.2,100,46.2,14.6,9.3,37.3,72.6,92.8,96.5,7.2,3.5,100,7.8,31.8,13.1,65.8,43.1,86.7,87.9,13.3,12.1,354,153,48,56,83,113,268,200,351,157,50,56,78,111,261,198,89,9,21,10,25,47,40,73,20.7,22.0,32.0,33.0,20.7,17.5,31.3,27.2,22.5,23.5,33.6,35.0,22.5,21.1,33.1,32.4,56.4,40.2,72.7,51.5,50.5,31.8,58.6,39.7,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2007/annual_2007.xls,legacy_futures_only,dea_fut_xls_2007,COFFEE C - ICE FUTURES U.S.,71218,2007-12-18,083731,NYBT,1,83,161560,64865,22375,18731,63993,113215,147589,154321,13971,7239,147822,67504,21763,12819,55325,107594,135648,142176,12174,5646,13738,1088,4339,2185,8668,5621,11941,12145,1797,1593,2514.0,1473.0,332.0,-922.0,496.0,3202.0,1047.0,2612.0,1467.0,-98.0,100,40.1,13.8,11.6,39.6,70.1,91.4,95.5,8.6,4.5,100,45.7,14.7,8.7,37.4,72.8,91.8,96.2,8.2,3.8,100,7.9,31.6,15.9,63.1,40.9,86.9,88.4,13.1,11.6,351,149,48,55,82,114,262,202,348,155,49,55,76,113,254,201,85,10,20,10,23,44,39,69,21.2,22.2,32.8,33.2,21.2,17.7,32.1,27.5,23.2,23.8,34.6,35.5,23.2,21.4,34.1,32.8,56.9,41.8,74.0,53.5,49.5,31.5,57.8,39.5,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2007/annual_2007.xls,legacy_futures_only,dea_fut_xls_2007,COFFEE C - ICE FUTURES U.S.,71211,2007-12-11,083731,NYBT,1,83,159046,63392,22043,19653,63497,110013,146542,151709,12504,7337,144553,66460,21622,12465,55057,104977,133982,139064,10571,5489,14493,1091,4580,3029,8440,5036,12560,12645,1933,1848,3476.0,1095.0,-437.0,1157.0,16.0,2068.0,2268.0,2788.0,1208.0,688.0,100,39.9,13.9,12.4,39.9,69.2,92.1,95.4,7.9,4.6,100,46.0,15.0,8.6,38.1,72.6,92.7,96.2,7.3,3.8,100,7.5,31.6,20.9,58.2,34.7,86.7,87.2,13.3,12.8,364,159,52,57,83,117,276,206,361,163,51,56,77,115,268,203,84,9,19,10,24,43,39,67,22.1,22.5,33.8,34.3,22.1,18.2,32.7,28.4,24.3,24.4,35.3,36.3,24.3,22.4,34.9,33.9,57.8,48.4,74.0,58.9,46.9,32.6,54.9,39.3,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2007/annual_2007.xls,legacy_futures_only,dea_fut_xls_2007,COFFEE C - ICE FUTURES U.S.,71204,2007-12-04,083731,NYBT,1,83,155570,62297,22480,18496,63481,107945,144274,148921,11296,6649,141543,65285,22108,11504,55404,103070,132193,136682,9350,4861,14027,1084,4444,2920,8077,4875,12081,12239,1946,1788,3277.0,2804.0,-1.0,-213.0,-478.0,4064.0,2113.0,3850.0,1164.0,-573.0,100,40.0,14.5,11.9,40.8,69.4,92.7,95.7,7.3,4.3,100,46.1,15.6,8.1,39.1,72.8,93.4,96.6,6.6,3.4,100,7.7,31.7,20.8,57.6,34.8,86.1,87.3,13.9,12.7,357,149,57,50,80,118,257,206,354,152,56,49,74,116,249,203,82,10,17,9,21,45,35,68,23.3,23.7,35.5,35.2,22.7,18.3,33.6,28.4,25.0,24.9,36.7,36.7,25.0,22.5,35.9,34.0,58.1,49.3,74.3,59.4,47.1,33.3,54.4,40.1,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2007/annual_2007.xls,legacy_futures_only,dea_fut_xls_2007,COFFEE C - ICE FUTURES U.S.,71127,2007-11-27,083731,NYBT,1,83,152293,59493,22481,18709,63959,103881,142161,145071,10132,7222,138235,62822,22182,11523,55527,99082,129872,132787,8363,5448,14058,1091,4719,2766,8432,4799,12289,12284,1769,1774,-1298.0,263.0,1374.0,356.0,-2371.0,-3228.0,-1752.0,-1498.0,454.0,200.0,100,39.1,14.8,12.3,42.0,68.2,93.3,95.3,6.7,4.7,100,45.4,16.0,8.3,40.2,71.7,94.0,96.1,6.0,3.9,100,7.8,33.6,19.7,60.0,34.1,87.4,87.4,12.6,12.6,339,127,63,49,81,114,238,206,336,130,62,47,76,112,231,202,82,8,17,9,24,44,36,67,24.2,24.1,36.4,36.1,23.0,17.7,33.3,28.2,25.3,25.0,37.4,36.8,25.3,21.8,35.6,33.4,56.9,49.9,73.3,59.9,47.3,35.2,55.6,42.1,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2007/annual_2007.xls,legacy_futures_only,dea_fut_xls_2007,COFFEE C - ICE FUTURES U.S.,71120,2007-11-20,083731,NYBT,1,83,153591,59230,21107,18353,66330,107109,143913,146569,9678,7022,139730,62608,20771,11280,57929,102481,131817,134532,7913,5198,13861,1091,4805,2604,8401,4628,12096,12037,1765,1824,-6339.0,-53.0,-709.0,-2281.0,-4179.0,-2244.0,-6513.0,-5234.0,174.0,-1105.0,100,38.6,13.7,11.9,43.2,69.7,93.7,95.4,6.3,4.6,100,44.8,14.9,8.1,41.5,73.3,94.3,96.3,5.7,3.7,100,7.9,34.7,18.8,60.6,33.4,87.3,86.8,12.7,13.2,336,129,58,48,81,116,241,201,333,132,58,46,76,115,234,198,81,8,17,9,24,42,36,65,23.2,24.1,36.1,36.5,22.7,17.8,32.7,28.1,25.0,25.8,36.0,38.3,25.0,21.9,35.0,33.7,56.5,50.0,73.0,59.8,47.5,35.8,56.0,42.6,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2007/annual_2007.xls,legacy_futures_only,dea_fut_xls_2007,COFFEE C - ICE FUTURES U.S.,71113,2007-11-13,083731,NYBT,1,83,159930,59283,21816,20634,70509,109353,150426,151803,9504,8127,146398,62147,21675,13881,62629,104576,138657,140132,7741,6266,13532,1104,4109,2785,7880,4777,11769,11671,1763,1861,-3372.0,-426.0,101.0,-2979.0,815.0,134.0,-2590.0,-2744.0,-782.0,-628.0,100,37.1,13.6,12.9,44.1,68.4,94.1,94.9,5.9,5.1,100,42.5,14.8,9.5,42.8,71.4,94.7,95.7,5.3,4.3,100,8.2,30.4,20.6,58.2,35.3,87.0,86.2,13.0,13.8,341,126,63,53,89,117,250,211,338,128,63,52,85,116,244,209,82,8,17,10,24,42,37,66,23.5,25.2,35.8,37.1,21.8,17.3,31.3,27.3,23.8,27.1,35.2,39.2,23.8,21.1,33.6,32.5,52.5,47.0,69.9,58.3,43.4,32.4,52.4,39.0,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2007/annual_2007.xls,legacy_futures_only,dea_fut_xls_2007,COFFEE C - ICE FUTURES U.S.,71106,2007-11-06,083731,NYBT,1,83,163302,59709,21715,23613,69694,109219,153016,154547,10286,8755,150283,61787,21786,17430,62675,104293,141892,143509,8391,6774,13019,1095,3102,3010,7019,4926,11124,11038,1895,1981,-5064.0,-2166.0,789.0,-2087.0,-855.0,-4956.0,-5108.0,-6254.0,44.0,1190.0,100,36.6,13.3,14.5,42.7,66.9,93.7,94.6,6.3,5.4,100,41.1,14.5,11.6,41.7,69.4,94.4,95.5,5.6,4.5,100,8.4,23.8,23.1,53.9,37.8,85.4,84.8,14.6,15.2,363,136,62,64,100,118,275,222,362,138,64,63,97,117,272,220,78,7,17,10,24,41,36,64,22.9,24.6,34.3,35.6,20.9,17.6,29.9,26.6,22.8,26.5,33.8,37.6,22.8,21.4,32.3,31.3,51.0,43.4,68.0,56.1,39.3,26.1,45.9,33.4,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2007/annual_2007.xls,legacy_futures_only,dea_fut_xls_2007,COFFEE C - ICE FUTURES U.S.,71030,2007-10-30,083731,NYBT,1,83,168366,61875,20926,25700,70549,114175,158124,160801,10242,7565,155200,63043,20743,19984,63956,109103,146983,149830,8217,5370,13166,1163,2514,3385,6593,5072,11141,10971,2025,2195,-4145.0,-4456.0,185.0,-2877.0,3084.0,-3571.0,-4249.0,-6263.0,104.0,2118.0,100,36.8,12.4,15.3,41.9,67.8,93.9,95.5,6.1,4.5,100,40.6,13.4,12.9,41.2,70.3,94.7,96.5,5.3,3.5,100,8.8,19.1,25.7,50.1,38.5,84.6,83.3,15.4,16.7,364,143,59,68,98,119,279,224,363,144,58,67,93,118,274,221,74,9,14,11,21,40,34,64,22.7,25.6,34.0,37.5,20.5,17.9,29.2,27.8,22.5,27.1,33.5,39.0,22.2,21.6,31.6,32.0,52.3,45.4,69.1,57.8,36.9,21.3,41.6,28.5,"(CONTRACTS OF 37,500 POUNDS)"
