source_file,source_dataset,source_archive,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221227,2022-12-27,083731,ICUS,1,83,185259,47164,49868,34242,95143,93339,176549,177449,8710,7810,166358,45639,52329,26943,85907,79657,158489,158929,7869,7429,18901,7265,3279,1559,9236,13682,18060,18520,841,381,-2576.0,975.0,-602.0,-1527.0,-2158.0,-207.0,-2710.0,-2336.0,134.0,-240.0,100,25.5,26.9,18.5,51.4,50.4,95.3,95.8,4.7,4.2,100,27.4,31.5,16.2,51.6,47.9,95.3,95.5,4.7,4.5,100,38.4,17.3,8.2,48.9,72.4,95.6,98.0,4.4,2.0,358,121,86,97,121,105,293,250,354,120,89,90,116,101,282,242,135,21,23,15,71,46,100,78,17.2,18.3,27.7,29.4,12.4,15.8,19.5,24.4,18.8,19.2,29.7,29.5,15.2,17.4,23.1,26.4,29.6,38.3,46.4,54.0,28.9,36.6,42.4,50.2,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221220,2022-12-20,083731,ICUS,1,83,187835,46189,50470,35769,97301,93546,179259,179785,8576,8050,169161,45101,52996,28276,88024,80203,161401,161475,7760,7686,18674,7113,3499,1468,9277,13343,17858,18310,816,364,-10867.0,1561.0,-3628.0,-4148.0,-7939.0,-3243.0,-10526.0,-11019.0,-341.0,152.0,100,24.6,26.9,19.0,51.8,49.8,95.4,95.7,4.6,4.3,100,26.7,31.3,16.7,52.0,47.4,95.4,95.5,4.6,4.5,100,38.1,18.7,7.9,49.7,71.5,95.6,98.1,4.4,1.9,354,124,79,98,121,103,294,244,350,123,83,93,116,99,283,238,138,22,23,14,74,46,103,77,17.8,18.1,28.2,29.8,13.2,15.9,20.2,24.6,19.4,18.9,30.4,29.8,16.0,17.4,24.0,26.6,28.8,38.0,45.8,54.0,28.2,36.3,41.9,49.6,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221213,2022-12-13,083731,ICUS,1,83,198702,44628,54098,39917,105240,96789,189785,190804,8917,7898,179333,43719,56700,32073,95410,83036,171202,171809,8131,7524,19369,7198,3687,1555,9830,13753,18583,18995,786,374,-4594.0,4152.0,-1020.0,-2014.0,-6125.0,-1669.0,-3987.0,-4703.0,-607.0,109.0,100,22.5,27.2,20.1,53.0,48.7,95.5,96.0,4.5,4.0,100,24.4,31.6,17.9,53.2,46.3,95.5,95.8,4.5,4.2,100,37.2,19.0,8.0,50.8,71.0,95.9,98.1,4.1,1.9,365,117,94,107,124,105,302,257,361,116,98,102,120,101,292,251,137,26,19,14,74,44,105,73,18.6,18.0,28.9,28.8,13.0,14.7,19.5,23.2,20.0,18.7,31.2,29.0,15.7,16.2,23.2,25.2,26.9,34.6,43.4,51.2,24.1,32.8,37.1,46.3,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221206,2022-12-06,083731,ICUS,1,83,203296,40476,55118,41931,111365,98458,193772,195507,9524,7789,185439,41411,57694,33201,102061,87109,176673,178004,8766,7435,17857,6258,4617,1537,9304,11349,17099,17503,758,354,6931.0,4642.0,4648.0,500.0,1340.0,2128.0,6482.0,7276.0,449.0,-345.0,100,19.9,27.1,20.6,54.8,48.4,95.3,96.2,4.7,3.8,100,22.3,31.1,17.9,55.0,47.0,95.3,96.0,4.7,4.0,100,35.0,25.9,8.6,52.1,63.6,95.8,98.0,4.2,2.0,368,122,95,102,127,102,306,253,365,120,102,97,123,99,298,247,134,24,19,14,73,40,102,69,19.9,18.6,30.4,28.9,14.3,14.6,20.4,22.8,21.1,19.6,32.1,29.5,17.0,16.0,23.6,24.5,27.9,37.3,43.6,56.5,23.8,35.7,37.5,54.3,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221129,2022-11-29,083731,ICUS,1,83,196365,35834,50470,41431,110025,96330,187290,188231,9075,8134,179081,36944,53612,32349,101314,85322,170607,171283,8474,7798,17284,6305,4273,1667,8711,11008,16683,16948,601,336,1443.0,-650.0,-2200.0,671.0,1314.0,2362.0,1335.0,833.0,108.0,610.0,100,18.2,25.7,21.1,56.0,49.1,95.4,95.9,4.6,4.1,100,20.6,29.9,18.1,56.6,47.6,95.3,95.6,4.7,4.4,100,36.5,24.7,9.6,50.4,63.7,96.5,98.1,3.5,1.9,366,122,89,102,125,103,308,246,362,119,96,98,121,99,300,239,139,27,17,12,74,42,104,69,19.3,18.2,29.8,28.2,15.4,15.0,21.7,23.1,20.6,19.2,31.4,28.9,18.2,16.4,25.0,24.7,28.0,38.3,44.9,56.4,24.8,36.9,38.3,55.0,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221122,2022-11-22,083731,ICUS,1,83,194922,36484,52670,40760,108711,93968,185955,187398,8967,7524,177585,37670,56195,31430,100107,82750,169207,170375,8378,7210,17337,6457,4118,1687,8604,11218,16748,17023,589,314,3179.0,-848.0,1184.0,60.0,5167.0,2264.0,4379.0,3508.0,-1200.0,-329.0,100,18.7,27.0,20.9,55.8,48.2,95.4,96.1,4.6,3.9,100,21.2,31.6,17.7,56.4,46.6,95.3,95.9,4.7,4.1,100,37.2,23.8,9.7,49.6,64.7,96.6,98.2,3.4,1.8,363,116,94,101,124,104,296,255,359,112,102,95,120,100,286,248,138,29,18,12,71,39,104,67,18.9,17.4,29.2,27.2,15.7,15.1,21.9,23.3,20.1,18.3,31.0,28.6,18.6,16.5,25.3,25.2,25.4,38.8,42.7,56.6,21.6,37.3,35.1,54.5,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221115,2022-11-15,083731,ICUS,1,83,191743,37332,51486,40700,103544,91704,181576,183890,10167,7853,175066,38082,54611,32038,95490,80907,165610,167556,9456,7510,16677,6245,3870,1667,8054,10797,15966,16334,711,343,-25903.0,-5202.0,4269.0,-14687.0,-5651.0,-15579.0,-25540.0,-25997.0,-363.0,94.0,100,19.5,26.9,21.2,54.0,47.8,94.7,95.9,5.3,4.1,100,21.8,31.2,18.3,54.5,46.2,94.6,95.7,5.4,4.3,100,37.4,23.2,10.0,48.3,64.7,95.7,97.9,4.3,2.1,355,109,101,94,120,104,282,256,353,108,108,90,116,99,276,248,128,22,19,12,66,41,93,69,18.0,16.3,26.6,25.6,15.7,15.7,22.6,23.5,19.5,17.2,28.6,27.2,18.7,17.2,26.2,25.2,30.4,38.6,48.3,56.0,27.8,37.2,42.0,53.2,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221108,2022-11-08,083731,ICUS,1,83,217646,42534,47217,55387,109195,107283,207116,209887,10530,7759,202476,41288,48596,48835,102389,97611,192512,195042,9964,7434,15170,6095,3470,1703,6806,9672,14604,14845,566,325,246.0,1113.0,7979.0,-891.0,-345.0,-6419.0,-123.0,669.0,369.0,-423.0,100,19.5,21.7,25.4,50.2,49.3,95.2,96.4,4.8,3.6,100,20.4,24.0,24.1,50.6,48.2,95.1,96.3,4.9,3.7,100,40.2,22.9,11.2,44.9,63.8,96.3,97.9,3.7,2.1,367,116,98,109,122,110,294,275,364,113,106,105,119,109,286,272,130,27,19,14,64,39,95,70,20.0,17.7,29.3,30.0,14.0,14.5,19.8,21.2,20.9,18.5,30.2,30.4,16.3,15.6,22.3,22.2,35.8,40.1,54.5,56.0,33.9,38.6,45.4,50.8,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221101,2022-11-01,083731,ICUS,1,83,217400,41421,39238,56278,109540,113702,207239,209218,10161,8182,203807,39803,40752,50720,103610,104429,194133,195901,9674,7906,13593,5718,2586,1458,5930,9273,13106,13317,487,276,9120.0,-698.0,8470.0,6086.0,3430.0,-5734.0,8818.0,8822.0,302.0,298.0,100,19.1,18.0,25.9,50.4,52.3,95.3,96.2,4.7,3.8,100,19.5,20.0,24.9,50.8,51.2,95.3,96.1,4.7,3.9,100,42.1,19.0,10.7,43.6,68.2,96.4,98.0,3.6,2.0,365,116,95,112,125,109,301,268,363,113,104,108,123,107,293,266,133,30,19,13,62,42,96,72,17.0,18.0,25.9,29.6,12.7,14.5,18.0,21.1,17.6,18.6,26.9,30.0,14.5,15.3,19.9,21.6,37.6,36.9,54.2,54.8,34.7,35.1,46.2,48.8,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221025,2022-10-25,083731,ICUS,1,83,208280,42119,30768,50192,106110,119436,198421,200396,9859,7884,195650,40844,33160,45128,100362,109795,186334,188083,9316,7567,12630,5490,1823,849,5748,9641,12087,12313,543,317,11551.0,968.0,8840.0,4853.0,4888.0,-3391.0,10709.0,10302.0,842.0,1249.0,100,20.2,14.8,24.1,50.9,57.3,95.3,96.2,4.7,3.8,100,20.9,16.9,23.1,51.3,56.1,95.2,96.1,4.8,3.9,100,43.5,14.4,6.7,45.5,76.3,95.7,97.5,4.3,2.5,363,123,85,111,129,112,303,269,360,122,91,107,127,110,295,266,123,24,17,13,63,38,93,63,15.5,19.9,25.0,31.2,11.9,15.2,17.1,21.9,16.0,20.1,25.7,31.5,13.5,16.1,18.7,22.7,39.7,33.1,55.9,51.8,34.9,28.6,43.6,41.4,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221018,2022-10-18,083731,ICUS,1,83,196729,41151,21928,45339,101222,122827,187712,190094,9017,6635,185169,40016,24249,40830,95706,113718,176552,178797,8617,6372,11560,5028,1572,616,5516,9109,11160,11297,400,263,8531.0,-10208.0,11103.0,6857.0,12091.0,-9663.0,8740.0,8297.0,-209.0,234.0,100,20.9,11.1,23.0,51.5,62.4,95.4,96.6,4.6,3.4,100,21.6,13.1,22.1,51.7,61.4,95.3,96.6,4.7,3.4,100,43.5,13.6,5.3,47.7,78.8,96.5,97.7,3.5,2.3,353,126,72,111,129,115,304,259,350,127,77,108,124,114,294,257,121,24,18,12,59,40,88,66,16.2,22.5,25.7,33.2,10.8,15.8,16.0,23.0,16.7,22.7,26.3,33.4,12.1,16.8,17.5,23.9,38.8,32.8,55.7,50.6,33.9,25.9,43.2,37.9,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221011,2022-10-11,083731,ICUS,1,83,188198,51359,10825,38482,89131,132490,178972,181797,9226,6401,177059,51019,13221,33646,83494,124091,168159,170958,8900,6101,11139,4652,1916,524,5637,8399,10813,10839,326,300,3500.0,-2190.0,-573.0,-772.0,6407.0,5502.0,3445.0,4157.0,55.0,-657.0,100,27.3,5.8,20.4,47.4,70.4,95.1,96.6,4.9,3.4,100,28.8,7.5,19.0,47.2,70.1,95.0,96.6,5.0,3.4,100,41.8,17.2,4.7,50.6,75.4,97.1,97.3,2.9,2.7,355,141,54,105,127,119,312,246,352,145,54,102,121,119,302,244,114,19,23,11,49,38,75,67,15.8,26.4,26.0,37.2,11.2,18.2,16.3,27.0,15.8,26.6,26.4,37.8,12.2,19.6,17.5,28.1,39.9,34.3,56.6,52.7,36.3,22.5,45.6,37.7,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,221004,2022-10-04,083731,ICUS,1,83,184698,53549,11398,39254,82724,126988,175527,177640,9171,7058,174004,53200,13757,34511,77433,118972,165144,167240,8860,6764,10694,4401,1693,691,5291,8016,10383,10400,311,294,-451.0,-1905.0,624.0,1056.0,276.0,-2124.0,-573.0,-444.0,122.0,-7.0,100,29.0,6.2,21.3,44.8,68.8,95.0,96.2,5.0,3.8,100,30.6,7.9,19.8,44.5,68.4,94.9,96.1,5.1,3.9,100,41.2,15.8,6.5,49.5,75.0,97.1,97.3,2.9,2.7,352,142,55,106,123,116,312,242,349,145,57,103,119,116,304,240,114,20,22,12,50,38,76,67,14.9,25.2,23.7,35.2,11.5,17.8,16.8,26.5,15.1,25.1,24.2,35.3,12.1,18.9,17.7,27.6,41.7,36.6,56.3,55.1,34.6,24.5,42.7,38.9,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,220927,2022-09-27,083731,ICUS,1,83,185149,55454,10774,38198,82448,129112,176100,178084,9049,7065,174747,54284,11974,34735,76974,121269,165993,167978,8754,6769,10402,3763,1393,870,5474,7843,10107,10106,295,296,-6284.0,3077.0,-531.0,-1084.0,-8278.0,-4612.0,-6285.0,-6227.0,1.0,-57.0,100,30.0,5.8,20.6,44.5,69.7,95.1,96.2,4.9,3.8,100,31.1,6.9,19.9,44.0,69.4,95.0,96.1,5.0,3.9,100,36.2,13.4,8.4,52.6,75.4,97.2,97.2,2.8,2.8,359,155,51,103,114,112,311,237,355,155,54,101,112,112,305,235,109,19,19,11,49,38,73,64,14.6,25.6,24.0,35.7,12.2,18.1,17.5,26.9,14.8,25.3,24.2,35.4,12.9,19.0,18.4,27.6,38.4,36.4,54.6,52.8,28.9,22.5,35.7,35.6,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,220920,2022-09-20,083731,ICUS,1,83,191433,52377,11305,39282,90726,133724,182385,184311,9048,7122,181152,51424,12914,35527,85363,125832,172314,174273,8838,6879,10281,3754,1192,954,5363,7892,10071,10038,210,243,-6224.0,-2372.0,-1177.0,-776.0,-2887.0,-4249.0,-6035.0,-6202.0,-189.0,-22.0,100,27.4,5.9,20.5,47.4,69.9,95.3,96.3,4.7,3.7,100,28.4,7.1,19.6,47.1,69.5,95.1,96.2,4.9,3.8,100,36.5,11.6,9.3,52.2,76.8,98.0,97.6,2.0,2.4,363,151,52,103,119,116,312,244,360,151,58,101,117,116,306,243,116,23,19,12,51,41,79,67,15.0,25.8,24.9,35.6,11.9,17.5,17.8,25.8,15.2,25.5,25.1,35.3,12.6,18.2,18.7,26.4,37.4,37.2,55.1,53.9,28.9,23.2,36.5,36.5,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,220913,2022-09-13,083731,ICUS,1,83,197657,54749,12482,40058,93613,137973,188420,190513,9237,7144,187516,54089,14145,36225,88205,130255,178519,180625,8997,6891,10141,3625,1302,868,5408,7718,9901,9888,240,253,3719.0,-4475.0,426.0,2635.0,5600.0,684.0,3760.0,3745.0,-41.0,-26.0,100,27.7,6.3,20.3,47.4,69.8,95.3,96.4,4.7,3.6,100,28.8,7.5,19.3,47.0,69.5,95.2,96.3,4.8,3.7,100,35.7,12.8,8.6,53.3,76.1,97.6,97.5,2.4,2.5,361,142,61,98,118,117,305,243,358,142,65,95,117,117,300,241,108,19,18,10,49,40,72,64,17.0,27.2,26.7,36.6,11.6,16.9,17.3,24.3,17.3,27.0,27.0,36.2,12.2,17.6,18.0,24.9,39.5,39.1,58.4,56.9,30.7,24.1,39.8,37.6,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2022/annual.xls,legacy_futures_only,dea_fut_xls_2022,COFFEE C - ICE FUTURES U.S.,220906,2022-09-06,083731,ICUS,1,83,193938,59224,12056,37423,88013,137289,184660,186768,9278,7170,184267,58587,13295,34139,82610,129904,175336,177338,8931,6929,9671,3106,1230,815,5403,7385,9324,9430,347,241,49.0,-2192.0,-673.0,1699.0,819.0,-888.0,326.0,138.0,-277.0,-89.0,100,30.5,6.2,19.3,45.4,70.8,95.2,96.3,4.8,3.7,100,31.8,7.2,18.5,44.8,70.5,95.2,96.2,4.8,3.8,100,32.1,12.7,8.4,55.9,76.4,96.4,97.5,3.6,2.5,378,153,67,105,114,115,319,249,375,154,69,104,113,115,316,247,102,16,16,11,47,40,68,63,14.9,27.3,24.8,37.2,12.1,17.7,18.0,25.5,15.1,27.0,24.9,36.8,12.7,18.3,18.8,25.6,38.1,41.5,57.7,59.9,29.0,25.8,38.8,39.4,"(CONTRACTS OF 37,500 POUNDS)"
