source_file,source_dataset,source_archive,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
raw_cot_data/legacy_futures_only/deafut_xls_2002/Fut_2002.xls,legacy_futures_only,deafut_xls_2002,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE",21231,2002-12-31,083731,CSCE,1,83,69388,15262,13812,8129,33178,40963,56569,62904,12819,6484,64219,15219,13892,6252,30449,37901,51920,58045,12299,6174,5169,910,787,1010,2729,3062,4649,4859,520,310,1785.0,1476.0,2361.0,751.0,-20.0,-1345.0,2207.0,1767.0,-422.0,18.0,100,22.0,19.9,11.7,47.8,59.0,81.5,90.7,18.5,9.3,100,23.7,21.6,9.7,47.4,59.0,80.8,90.4,19.2,9.6,100,17.6,15.2,19.5,52.8,59.2,89.9,94.0,10.1,6.0,232,83,35,40,96,76,194,140,232,87,32,39,93,76,191,139,63,5,11,7,36,19,47,31,14.2,24.6,22.7,39.0,9.7,22.0,16.6,34.1,12.6,25.1,21.7,40.7,11.1,23.2,18.8,37.0,46.7,66.1,62.8,81.4,39.9,56.2,52.1,65.0,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/deafut_xls_2002/Fut_2002.xls,legacy_futures_only,deafut_xls_2002,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE",21223,2002-12-23,083731,CSCE,1,83,67603,13786,11451,7378,33198,42308,54362,61137,13241,6466,63006,13792,11336,5864,30573,39679,50229,56879,12777,6127,4597,657,778,851,2625,2629,4133,4258,464,339,887.0,-384.0,756.0,-16.0,915.0,-462.0,515.0,278.0,372.0,609.0,100,20.4,16.9,10.9,49.1,62.6,80.4,90.4,19.6,9.6,100,21.9,18.0,9.3,48.5,63.0,79.7,90.3,20.3,9.7,100,14.3,16.9,18.5,57.1,57.2,89.9,92.6,10.1,7.4,222,74,32,39,98,79,188,137,222,79,28,37,95,79,185,135,62,5,9,6,36,18,46,29,14.2,25.0,22.8,39.8,10.2,22.6,17.2,34.4,12.9,25.3,22.1,41.2,10.8,23.8,18.5,36.5,47.9,63.8,63.5,79.9,39.4,52.8,51.2,63.3,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/deafut_xls_2002/Fut_2002.xls,legacy_futures_only,deafut_xls_2002,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE",21217,2002-12-17,083731,CSCE,1,83,66716,14170,10695,7394,32283,42770,53847,60859,12869,5857,62566,14475,10434,5911,29771,40596,50157,56941,12409,5625,4150,366,932,812,2512,2174,3690,3918,460,232,-7785.0,-7732.0,1137.0,-119.0,5712.0,-4065.0,-2139.0,-3047.0,-5646.0,-4738.0,100,21.2,16.0,11.1,48.4,64.1,80.7,91.2,19.3,8.8,100,23.1,16.7,9.4,47.6,64.9,80.2,91.0,19.8,9.0,100,8.8,22.5,19.6,60.5,52.4,88.9,94.4,11.1,5.6,222,79,28,41,98,78,192,135,222,84,25,39,95,77,189,132,65,5,12,8,36,19,47,33,13.8,25.1,22.3,40.8,10.2,23.4,17.4,35.3,12.8,25.3,21.8,42.0,9.8,24.5,17.7,37.4,47.0,57.9,60.3,76.3,38.3,49.5,50.1,61.0,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/deafut_xls_2002/Fut_2002.xls,legacy_futures_only,deafut_xls_2002,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE",21210,2002-12-10,083731,CSCE,1,83,74501,21902,9558,7513,26571,46835,55986,63906,18515,10595,71627,22494,9676,6057,24961,45626,53512,61359,18115,10268,2874,475,949,389,1610,1209,2474,2547,400,327,1814.0,-5082.0,1692.0,1233.0,1152.0,-6450.0,-2697.0,-3525.0,4511.0,5339.0,100,29.4,12.8,10.1,35.7,62.9,75.1,85.8,24.9,14.2,100,31.4,13.5,8.5,34.8,63.7,74.7,85.7,25.3,14.3,100,16.5,33.0,13.5,56.0,42.1,86.1,88.6,13.9,11.4,240,93,24,35,97,80,207,129,240,99,22,35,95,80,205,129,59,3,11,7,33,18,43,29,10.7,23.3,18.4,38.6,10.0,22.3,16.1,35.1,10.6,24.0,18.3,39.9,10.0,23.2,16.2,36.5,49.9,51.1,65.7,67.6,48.0,43.5,59.9,58.6,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/deafut_xls_2002/Fut_2002.xls,legacy_futures_only,deafut_xls_2002,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE",21203,2002-12-03,083731,CSCE,1,83,72687,26984,7866,6280,25419,53285,58683,67431,14004,5256,70277,27468,8131,4931,24142,52109,56541,65171,13736,5106,2410,488,707,377,1277,1176,2142,2260,268,150,1209.0,1283.0,-154.0,87.0,-1288.0,218.0,82.0,151.0,1127.0,1058.0,100,37.1,10.8,8.6,35.0,73.3,80.7,92.8,19.3,7.2,100,39.1,11.6,7.0,34.4,74.1,80.5,92.7,19.5,7.3,100,20.2,29.3,15.6,53.0,48.8,88.9,93.8,11.1,6.2,246,101,25,30,94,84,207,131,246,104,24,28,91,84,204,129,57,5,8,6,32,17,41,27,10.8,26.5,19.2,43.4,10.7,24.9,17.8,38.8,11.0,27.3,19.3,44.7,11.0,25.6,18.3,40.1,50.9,55.4,67.1,74.8,48.3,47.2,59.5,64.9,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/deafut_xls_2002/Fut_2002.xls,legacy_futures_only,deafut_xls_2002,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE",21126,2002-11-26,083731,CSCE,1,83,71478,25701,8020,6193,26707,53067,58601,67280,12877,4198,69069,26217,8303,4803,25433,51914,56453,65020,12616,4049,2409,516,749,358,1274,1153,2148,2260,261,149,-794.0,1326.0,-73.0,474.0,-2008.0,-229.0,-208.0,172.0,-586.0,-966.0,100,36.0,11.2,8.7,37.4,74.2,82.0,94.1,18.0,5.9,100,38.0,12.0,7.0,36.8,75.2,81.7,94.1,18.3,5.9,100,21.4,31.1,14.9,52.9,47.9,89.2,93.8,10.8,6.2,242,100,23,31,92,84,202,132,242,101,24,29,89,84,199,130,56,7,6,5,31,18,41,26,10.9,26.9,19.4,43.8,10.6,24.7,17.9,38.5,10.8,27.6,19.5,45.1,10.8,25.5,18.4,39.8,50.9,55.6,67.2,75.6,48.4,47.4,59.3,65.7,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/deafut_xls_2002/Fut_2002.xls,legacy_futures_only,deafut_xls_2002,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE",21119,2002-11-19,083731,CSCE,1,83,72272,24375,8093,5719,28715,53296,58809,67108,13463,5164,69990,24912,8347,4368,27488,52227,56768,64942,13222,5048,2282,478,761,336,1227,1069,2041,2166,241,116,-756.0,1130.0,-250.0,-1011.0,521.0,1514.0,640.0,253.0,-1396.0,-1009.0,100,33.7,11.2,7.9,39.7,73.7,81.4,92.9,18.6,7.1,100,35.6,11.9,6.2,39.3,74.6,81.1,92.8,18.9,7.2,100,20.9,33.3,14.7,53.8,46.8,89.4,94.9,10.6,5.1,247,101,27,30,95,90,208,137,247,104,25,29,94,90,207,136,55,4,9,5,26,19,34,29,11.0,28.8,20.1,44.5,10.4,25.1,17.0,37.1,11.4,29.6,20.4,45.7,10.6,26.2,17.6,38.7,53.0,57.3,69.1,76.6,51.1,50.1,62.0,66.3,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/deafut_xls_2002/Fut_2002.xls,legacy_futures_only,deafut_xls_2002,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE",21112,2002-11-12,083731,CSCE,1,83,73028,23245,8343,6730,28194,51782,58169,66855,14859,6173,70980,23919,8594,5432,26966,50933,56317,64959,14663,6021,2048,317,740,307,1228,849,1852,1896,196,152,-3024.0,-256.0,-1339.0,-2354.0,-718.0,-994.0,-3328.0,-4687.0,304.0,1663.0,100,31.8,11.4,9.2,38.6,70.9,79.7,91.5,20.3,8.5,100,33.7,12.1,7.7,38.0,71.8,79.3,91.5,20.7,8.5,100,15.5,36.1,15.0,60.0,41.5,90.4,92.6,9.6,7.4,241,95,32,34,89,83,200,137,241,99,29,33,89,83,200,136,52,4,8,4,25,18,33,26,11.0,27.4,20.2,41.6,10.7,24.6,17.0,35.8,11.3,28.1,20.5,42.7,10.8,25.8,17.4,37.2,56.1,57.7,69.5,74.7,54.2,51.7,62.9,61.9,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/deafut_xls_2002/Fut_2002.xls,legacy_futures_only,deafut_xls_2002,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE",21105,2002-11-05,083731,CSCE,1,83,76052,23501,9682,9084,28912,52776,61497,71542,14555,4510,74071,24166,9965,7706,27802,52006,59674,69677,14397,4394,1981,353,735,360,1110,770,1823,1865,158,116,-43.0,680.0,455.0,230.0,-1144.0,220.0,-234.0,905.0,191.0,-948.0,100,30.9,12.7,11.9,38.0,69.4,80.9,94.1,19.1,5.9,100,32.6,13.5,10.4,37.5,70.2,80.6,94.1,19.4,5.9,100,17.8,37.1,18.2,56.0,38.9,92.0,94.1,8.0,5.9,255,98,33,40,95,91,211,150,255,99,34,39,95,91,211,149,52,6,8,5,24,17,33,27,11.3,29.4,20.9,44.1,10.1,25.2,16.1,36.1,11.2,30.1,21.1,44.8,10.4,26.3,16.6,37.5,61.2,63.4,73.8,78.7,54.2,51.8,61.8,62.4,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/deafut_xls_2002/Fut_2002.xls,legacy_futures_only,deafut_xls_2002,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE",21029,2002-10-29,083731,CSCE,1,83,76095,22821,9227,8854,30056,52556,61731,70637,14364,5458,74365,23705,9488,7500,28978,52074,60183,69062,14182,5303,1730,302,925,168,1078,482,1548,1575,182,155,1171.0,-515.0,40.0,1721.0,75.0,-650.0,1281.0,1111.0,-110.0,60.0,100,30.0,12.1,11.6,39.5,69.1,81.1,92.8,18.9,7.2,100,31.9,12.8,10.1,39.0,70.0,80.9,92.9,19.1,7.1,100,17.5,53.5,9.7,62.3,27.9,89.5,91.0,10.5,9.0,258,96,32,47,98,94,220,155,258,99,30,46,98,94,220,154,48,3,7,4,22,19,29,26,11.6,29.5,21.2,44.1,10.0,25.4,16.3,35.6,11.4,30.2,21.2,45.0,10.3,26.4,16.8,36.8,65.1,58.3,74.0,72.4,62.1,50.6,69.6,63.2,"(CONTRACTS OF 37,500 POUNDS)"
