GLOBALEVENTID,SQLDATE,event_date,trading_date,event_to_trade_lag_days,Year,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor2Geo_FullName,Actor2Geo_CountryCode,ActionGeo_FullName,ActionGeo_CountryCode,DATEADDED,keyword_relevant,coffee_country_relevant,coffee_country_name_relevant,coffee_region_relevant,primary_country,relevance_mode,event_summary,impact_direction,impact_bucket,relevance_score_0_1,event_intensity_score_0_1,price_response_score_0_1,direction_alignment_score_0_1,rule_impact_score_0_1,final_impact_score_0_1,Close,Volume,return_1d,future_return_1d,future_return_5d,future_return_10d,future_return_20d,realized_vol_20d,Open_Interest_All,managed_money_net,commercial_net,noncommercial_net,managed_money_weekly_net_change,commercial_weekly_net_change,noncommercial_weekly_net_change,open_interest_change_pct,source_archive,source_url
1281811579,20260101,2026-01-01,2026-01-02,1,2026,PSE,PALESTINE,PSE,,MED,JOURNALIST,,MED,1,190,190,19,4,-10.0,135,27,135,-9.39871986363216,Peru,PE,Peru,PE,Peru,PE,20260101,False,True,True,False,PE,strict,PALESTINE -> JOURNALIST; event code 190; Goldstein -10.0; tone -9.39871986363216; Peru,bullish,strong,0.65,0.9566453310605361,0.37158527952995857,1.0,0.680638757722917,0.680638757722917,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281811423,20260101,2026-01-01,2026-01-02,1,2026,ISR,ISRAEL,ISR,,MED,JOURNALIST,,MED,1,190,190,19,4,-10.0,54,27,54,-9.39871986363216,Peru,PE,Peru,PE,Peru,PE,20260101,False,True,True,False,PE,strict,ISRAEL -> JOURNALIST; event code 190; Goldstein -10.0; tone -9.39871986363216; Peru,bullish,strong,0.65,0.950348575044546,0.37158527952995857,1.0,0.6791275362790795,0.6791275362790795,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281811487,20260101,2026-01-01,2026-01-02,1,2026,MED,JOURNALIST,,MED,ISRHLH,ISRAEL,ISR,HLH,1,190,190,19,4,-10.0,54,27,54,-9.39871986363216,Peru,PE,Peru,PE,Peru,PE,20260101,False,True,True,False,PE,strict,JOURNALIST -> ISRAEL; event code 190; Goldstein -10.0; tone -9.39871986363216; Peru,bullish,strong,0.65,0.950348575044546,0.37158527952995857,1.0,0.6791275362790795,0.6791275362790795,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281749245,20260101,2026-01-01,2026-01-02,1,2026,COP,SECURITY FORCE,,COP,,,,,1,154,154,15,4,-7.2,80,6,80,11.3161383840678,"Connaught Place, Delhi, India",IN,,,"Connaught Place, Delhi, India",IN,20260101,False,True,True,False,IN,strict,"SECURITY FORCE -> unknown target; event code 154; Goldstein -7.2; tone 11.3161383840678; Connaught Place, Delhi, India",bullish,strong,0.65,0.9238781159782902,0.37158527952995857,1.0,0.6727746261031781,0.6727746261031781,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281743903,20260101,2026-01-01,2026-01-02,1,2026,,,,,CRM,NARCO TERRORIST,,CRM,1,190,190,19,4,-10.0,105,16,105,-6.39427107810583,,,Ecuador,EC,Ecuador,EC,20260101,False,True,True,False,EC,strict,Unknown actor -> NARCO TERRORIST; event code 190; Goldstein -10.0; tone -6.39427107810583; Ecuador,bullish,strong,0.65,0.9065711846350972,0.37158527952995857,1.0,0.6686209625808117,0.6686209625808117,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281811488,20260101,2026-01-01,2026-01-02,1,2026,MED,JOURNALIST,,MED,PSEHLH,GAZA,PSE,HLH,1,190,190,19,4,-10.0,27,27,27,-9.39871986363216,Peru,PE,Peru,PE,Peru,PE,20260101,False,True,True,False,PE,strict,JOURNALIST -> GAZA; event code 190; Goldstein -10.0; tone -9.39871986363216; Peru,bullish,strong,0.65,0.9033631235162833,0.37158527952995857,1.0,0.6678510279122964,0.6678510279122964,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281758999,20260101,2026-01-01,2026-01-02,1,2026,EDU,UNIVERSITY,,EDU,,,,,1,141,141,14,3,-6.5,90,9,90,11.2328301658451,India,IN,,,India,IN,20260101,False,True,True,False,IN,strict,UNIVERSITY -> unknown target; event code 141; Goldstein -6.5; tone 11.2328301658451; India,bullish,strong,0.65,0.9017861396556945,0.37158527952995857,1.0,0.6674725517857552,0.6674725517857552,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281748376,20260101,2026-01-01,2026-01-02,1,2026,GOV,AUTHORITIES,,GOV,SLV,EL SALVADOR,SLV,,1,173,173,17,4,-5.0,30,3,30,-13.2406050286966,El Salvador,ES,El Salvador,ES,El Salvador,ES,20260101,False,True,True,False,ES,strict,AUTHORITIES -> EL SALVADOR; event code 173; Goldstein -5.0; tone -13.2406050286966; El Salvador,bullish,strong,0.65,0.8638355978526062,0.37158527952995857,1.0,0.6583644217530139,0.6583644217530139,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281735794,20260101,2026-01-01,2026-01-02,1,2026,GOV,PRESIDENT,,GOV,,,,,0,154,154,15,4,-7.2,72,24,72,-4.95718794859707,El Salvador,ES,,,El Salvador,ES,20260101,False,True,True,False,ES,strict,PRESIDENT -> unknown target; event code 154; Goldstein -7.2; tone -4.95718794859707; El Salvador,bullish,strong,0.65,0.8626197991432846,0.37158527952995857,1.0,0.6580726300627767,0.6580726300627767,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281741010,20260101,2026-01-01,2026-01-02,1,2026,SPY,INTELLIGENCE,,SPY,,,,,0,150,150,15,4,-7.2,144,24,144,-4.41025641025641,"Madhya Pradesh, Madhya Pradesh, India",IN,,,"Madhya Pradesh, Madhya Pradesh, India",IN,20260101,False,True,True,False,IN,strict,"INTELLIGENCE -> unknown target; event code 150; Goldstein -7.2; tone -4.41025641025641; Madhya Pradesh, Madhya Pradesh, India",bullish,strong,0.65,0.8535042735042735,0.37158527952995857,1.0,0.6558849039094141,0.6558849039094141,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
