weather_vietnam_dak_lak_temperature_2m_mean,weather_vietnam_dak_lak_temperature_2m_max,weather_vietnam_dak_lak_temperature_2m_min,weather_vietnam_dak_lak_precipitation_sum,weather_vietnam_dak_lak_rain_sum,weather_vietnam_dak_lak_relative_humidity_2m_mean,weather_vietnam_dak_lak_wind_speed_10m_mean,weather_vietnam_dak_lak_shortwave_radiation_sum,weather_vietnam_dak_lak_et0_fao_evapotranspiration,weather_vietnam_dak_lak_soil_moisture_0_to_100cm_mean,weather_vietnam_dak_lak_soil_temperature_0_to_100cm_mean,weather_vietnam_dak_lak_vapour_pressure_deficit_max,Date
22.4,25.6,19.5,0.0,0.0,79,15.4,11.33,2.82,0.407,21.7,1.18,2000-01-03
22.1,26.7,18.7,0.0,0.0,77,13.5,14.23,3.27,0.404,21.8,1.46,2000-01-04
23.5,28.2,19.2,0.0,0.0,76,9.8,17.29,3.7,0.402,22.1,1.66,2000-01-05
23.6,28.6,19.2,0.0,0.0,77,6.9,19.01,3.93,0.399,22.4,1.77,2000-01-06
22.9,27.8,19.4,0.0,0.0,78,10.6,16.96,3.7,0.396,22.5,1.78,2000-01-07
22.0,27.0,18.7,0.0,0.0,72,11.7,19.58,4.22,0.393,22.6,1.89,2000-01-08
21.9,29.1,15.0,0.0,0.0,67,8.8,21.45,4.61,0.39,22.5,2.61,2000-01-09
23.0,28.7,18.1,0.0,0.0,75,12.1,19.42,4.22,0.387,22.7,1.89,2000-01-10
23.9,28.6,21.0,0.0,0.0,77,11.2,15.42,3.53,0.384,22.9,1.76,2000-01-11
23.9,29.2,19.3,0.0,0.0,74,7.3,19.74,4.14,0.382,23.1,2.06,2000-01-12
23.8,29.6,19.1,0.0,0.0,72,6.9,21.32,4.42,0.379,23.3,2.34,2000-01-13
23.3,29.1,18.6,0.0,0.0,74,8.0,18.66,4.06,0.376,23.4,2.05,2000-01-14
23.3,29.5,18.4,0.0,0.0,72,9.3,21.5,4.55,0.374,23.4,2.34,2000-01-15
23.8,29.6,19.1,0.0,0.0,72,10.0,21.16,4.63,0.372,23.6,2.22,2000-01-16
23.3,29.0,18.6,0.0,0.0,74,13.2,20.39,4.54,0.369,23.6,2.11,2000-01-17
22.6,26.9,19.9,0.0,0.0,73,17.0,16.69,4.05,0.367,23.6,1.64,2000-01-18
21.3,24.3,19.1,0.0,0.0,72,19.9,12.57,3.41,0.365,23.4,1.22,2000-01-19
20.7,24.0,18.6,0.0,0.0,73,21.3,11.73,3.3,0.364,23.2,1.26,2000-01-20
21.5,26.5,18.4,0.0,0.0,68,18.1,18.26,4.43,0.363,23.1,1.98,2000-01-21
22.3,26.2,19.2,0.0,0.0,73,14.2,12.37,3.23,0.361,23.2,1.51,2000-01-22
22.6,25.9,20.4,0.4,0.4,80,11.6,9.3,2.36,0.36,23.2,1.16,2000-01-23
22.8,26.1,21.1,0.0,0.0,81,13.5,8.04,2.28,0.36,23.2,1.24,2000-01-24
23.4,27.3,21.0,0.0,0.0,74,17.1,16.71,4.02,0.358,23.3,1.68,2000-01-25
22.1,25.3,20.1,0.4,0.4,76,20.6,14.38,3.47,0.357,23.3,1.26,2000-01-26
20.7,24.0,18.2,0.0,0.0,75,23.9,14.62,3.58,0.356,23.1,1.19,2000-01-27
20.0,23.7,17.5,0.0,0.0,70,21.1,13.71,3.66,0.355,22.9,1.36,2000-01-28
20.5,23.6,18.1,0.0,0.0,73,20.0,10.84,3.14,0.354,22.7,1.17,2000-01-29
20.4,23.5,18.4,0.0,0.0,71,21.1,12.98,3.55,0.353,22.7,1.28,2000-01-30
20.3,23.5,18.2,0.0,0.0,71,22.1,12.16,3.49,0.352,22.6,1.3,2000-01-31
20.2,23.2,18.4,0.0,0.0,72,21.6,10.79,3.22,0.351,22.4,1.16,2000-02-01
20.1,23.8,17.7,0.0,0.0,70,17.8,15.09,3.67,0.35,22.4,1.34,2000-02-02
20.7,24.9,17.4,0.0,0.0,74,13.5,12.9,3.12,0.349,22.3,1.31,2000-02-03
21.7,26.3,18.1,0.0,0.0,75,14.1,13.89,3.36,0.348,22.4,1.48,2000-02-04
22.5,26.6,19.8,0.0,0.0,72,15.6,14.41,3.7,0.347,22.6,1.65,2000-02-05
21.8,25.6,19.2,0.0,0.0,68,17.9,14.8,3.99,0.345,22.6,1.6,2000-02-06
19.7,22.7,18.0,2.4,2.4,71,14.9,8.64,2.66,0.345,22.4,1.12,2000-02-07
19.6,23.3,17.3,0.0,0.0,67,18.3,11.88,3.42,0.345,22.2,1.27,2000-02-08
20.4,25.8,17.1,0.0,0.0,66,17.1,21.64,4.84,0.344,22.2,1.78,2000-02-09
21.6,27.9,15.6,0.0,0.0,64,9.7,22.92,4.85,0.342,22.3,2.19,2000-02-10
23.1,30.1,17.4,0.0,0.0,64,10.3,23.09,5.3,0.34,22.6,2.71,2000-02-11
23.7,30.3,17.1,0.0,0.0,53,11.3,23.22,5.77,0.338,22.9,2.94,2000-02-12
24.6,30.9,19.3,0.3,0.3,64,11.0,21.0,5.06,0.336,23.2,2.45,2000-02-13
24.5,30.8,19.8,0.0,0.0,74,12.8,20.96,4.89,0.335,23.5,2.47,2000-02-14
23.3,28.5,19.4,0.0,0.0,69,18.7,18.48,4.76,0.334,23.6,2.09,2000-02-15
22.7,28.9,18.4,0.0,0.0,65,18.4,21.7,5.37,0.332,23.5,2.26,2000-02-16
23.3,29.0,19.9,0.0,0.0,71,16.8,17.75,4.45,0.331,23.6,1.93,2000-02-17
24.4,29.5,20.4,0.2,0.2,72,11.6,17.21,4.15,0.33,23.7,2.03,2000-02-18
25.5,30.6,20.7,0.0,0.0,69,5.2,19.77,4.27,0.329,24.0,2.28,2000-02-19
27.0,32.2,23.0,0.0,0.0,61,3.2,19.78,4.36,0.328,24.3,2.94,2000-02-20
26.9,31.1,23.7,1.0,1.0,63,4.0,18.89,4.2,0.326,24.5,2.39,2000-02-21
26.7,32.7,21.2,0.0,0.0,65,5.6,21.19,4.91,0.325,24.7,3.01,2000-02-22
26.6,32.6,20.6,0.1,0.1,66,6.5,21.65,5.1,0.324,24.9,2.99,2000-02-23
26.3,32.8,21.0,0.0,0.0,66,9.7,22.13,5.45,0.323,25.1,3.1,2000-02-24
