weather_brazil_minas_gerais_temperature_2m_mean,weather_brazil_minas_gerais_temperature_2m_max,weather_brazil_minas_gerais_temperature_2m_min,weather_brazil_minas_gerais_precipitation_sum,weather_brazil_minas_gerais_rain_sum,weather_brazil_minas_gerais_relative_humidity_2m_mean,weather_brazil_minas_gerais_wind_speed_10m_mean,weather_brazil_minas_gerais_shortwave_radiation_sum,weather_brazil_minas_gerais_et0_fao_evapotranspiration,weather_brazil_minas_gerais_soil_moisture_0_to_100cm_mean,weather_brazil_minas_gerais_soil_temperature_0_to_100cm_mean,weather_brazil_minas_gerais_vapour_pressure_deficit_max,Date
19.2,20.1,18.8,93.4,93.4,94,17.6,2.32,0.76,0.509,21.3,0.21,2000-01-03
19.4,20.4,18.7,14.8,14.8,95,13.0,4.88,0.98,0.5,21.1,0.21,2000-01-04
21.7,26.3,17.8,4.0,4.0,83,8.4,20.81,3.96,0.499,21.3,1.28,2000-01-05
21.9,27.4,17.5,4.1,4.1,82,4.8,22.86,4.49,0.497,21.6,1.47,2000-01-06
22.7,27.6,17.5,0.0,0.0,72,6.5,26.59,5.32,0.493,21.9,2.04,2000-01-07
22.4,27.1,17.7,0.0,0.0,63,8.4,26.97,5.59,0.486,22.0,1.93,2000-01-08
22.6,27.7,18.0,0.0,0.0,68,8.1,27.81,5.56,0.479,22.1,2.11,2000-01-09
22.1,27.0,16.6,0.0,0.0,73,6.2,26.16,5.18,0.473,22.2,1.65,2000-01-10
22.3,27.9,16.7,0.0,0.0,69,7.8,28.45,5.67,0.466,22.3,2.1,2000-01-11
22.9,28.1,17.2,0.0,0.0,67,7.2,27.79,5.65,0.46,22.4,2.14,2000-01-12
23.4,28.9,17.4,0.0,0.0,70,7.3,28.59,5.82,0.453,22.5,2.08,2000-01-13
24.2,28.9,19.0,0.5,0.5,71,6.2,25.96,5.38,0.448,22.8,1.97,2000-01-14
24.3,29.7,19.8,0.1,0.1,74,6.3,26.47,5.48,0.443,23.0,2.0,2000-01-15
23.1,28.5,19.8,8.5,8.5,82,4.7,21.02,4.24,0.443,23.1,1.6,2000-01-16
23.1,27.6,19.5,15.2,15.2,86,5.1,19.43,3.87,0.453,23.2,1.25,2000-01-17
