weather_colombia_huila_temperature_2m_mean,weather_colombia_huila_temperature_2m_max,weather_colombia_huila_temperature_2m_min,weather_colombia_huila_precipitation_sum,weather_colombia_huila_rain_sum,weather_colombia_huila_relative_humidity_2m_mean,weather_colombia_huila_wind_speed_10m_mean,weather_colombia_huila_shortwave_radiation_sum,weather_colombia_huila_et0_fao_evapotranspiration,weather_colombia_huila_soil_moisture_0_to_100cm_mean,weather_colombia_huila_soil_temperature_0_to_100cm_mean,weather_colombia_huila_vapour_pressure_deficit_max,Date
22.3,25.5,20.0,1.0,1.0,82,4.2,19.53,3.66,0.468,22.6,0.89,2000-01-03
21.6,24.8,19.8,0.7,0.7,82,4.7,17.21,3.25,0.465,22.6,0.99,2000-01-04
21.0,24.4,19.8,18.1,18.1,84,4.8,15.22,2.79,0.477,22.5,0.91,2000-01-05
21.6,25.2,18.9,1.6,1.6,79,3.9,18.34,3.45,0.48,22.4,1.08,2000-01-06
20.6,22.2,18.6,8.3,8.3,84,2.9,9.81,1.93,0.482,22.2,0.54,2000-01-07
20.2,22.7,17.6,8.3,8.3,85,3.5,13.97,2.63,0.488,22.1,0.6,2000-01-08
21.2,24.7,19.2,1.2,1.2,81,4.1,19.12,3.56,0.488,22.0,0.97,2000-01-09
21.5,25.5,17.9,0.1,0.1,81,3.2,19.87,3.7,0.484,22.1,1.15,2000-01-10
22.0,25.2,19.5,2.2,2.2,81,3.6,19.2,3.57,0.481,22.1,1.0,2000-01-11
22.5,26.2,19.7,3.0,3.0,78,3.7,20.19,3.8,0.48,22.2,1.24,2000-01-12
23.6,28.3,18.5,0.3,0.3,71,2.1,22.23,4.35,0.476,22.3,1.8,2000-01-13
23.4,26.9,20.3,1.4,1.4,72,2.1,21.3,4.13,0.472,22.3,1.36,2000-01-14
22.0,25.9,19.3,1.2,1.2,79,4.3,19.17,3.66,0.47,22.3,1.27,2000-01-15
21.5,24.2,19.0,4.1,4.1,81,3.3,16.67,3.12,0.469,22.3,0.88,2000-01-16
21.6,23.4,19.9,4.2,4.2,83,3.8,13.19,2.54,0.472,22.2,0.78,2000-01-17
23.5,27.6,20.7,0.1,0.1,70,3.5,19.18,3.89,0.471,22.3,1.86,2000-01-18
24.3,28.1,19.9,0.0,0.0,62,3.6,20.09,4.11,0.467,22.3,1.93,2000-01-19
24.2,27.3,22.3,6.6,6.6,69,4.1,16.93,3.54,0.467,22.5,1.51,2000-01-20
24.8,28.7,21.4,1.7,1.7,66,4.9,19.62,4.18,0.467,22.6,1.9,2000-01-21
24.9,29.3,20.9,0.0,0.0,65,4.7,21.9,4.59,0.464,22.7,2.09,2000-01-22
24.6,30.7,19.2,0.0,0.0,65,4.8,24.36,5.14,0.46,22.8,2.53,2000-01-23
25.0,29.4,20.8,0.1,0.1,63,3.0,22.73,4.62,0.455,22.9,2.11,2000-01-24
24.2,27.8,21.7,6.4,6.4,71,2.5,20.34,4.03,0.453,23.0,1.63,2000-01-25
21.6,24.9,18.4,27.8,27.8,84,3.0,16.57,3.1,0.462,22.9,0.96,2000-01-26
22.5,25.7,19.7,5.7,5.7,77,2.5,19.59,3.74,0.474,22.7,1.15,2000-01-27
23.1,26.6,20.6,5.6,5.6,79,2.1,16.95,3.35,0.477,22.7,1.16,2000-01-28
22.7,25.1,21.0,2.3,2.3,79,2.6,14.67,2.85,0.478,22.7,1.1,2000-01-29
21.9,24.4,20.4,5.5,5.5,82,2.6,12.31,2.41,0.479,22.6,0.86,2000-01-30
23.1,26.4,20.3,3.6,3.6,76,2.7,19.99,3.97,0.481,22.6,1.33,2000-01-31
24.1,27.9,21.5,0.5,0.5,69,3.1,16.3,3.37,0.479,22.6,1.69,2000-02-01
24.4,28.1,20.4,2.4,2.4,66,2.9,20.77,4.19,0.477,22.7,1.77,2000-02-02
24.5,27.1,22.4,3.1,3.1,68,2.5,19.02,3.81,0.476,22.9,1.53,2000-02-03
24.4,28.2,21.5,1.2,1.2,69,2.5,21.54,4.27,0.474,22.9,1.69,2000-02-04
23.3,26.8,19.9,2.2,2.2,74,4.2,22.19,4.36,0.472,22.9,1.48,2000-02-05
24.2,28.7,20.2,0.3,0.3,65,2.8,24.26,4.89,0.469,22.9,2.13,2000-02-06
23.6,31.1,17.0,0.0,0.0,62,4.7,25.02,5.27,0.464,22.9,2.83,2000-02-07
24.6,30.9,18.2,0.0,0.0,57,4.0,25.17,5.25,0.458,22.8,2.76,2000-02-08
