GLOBALEVENTID,SQLDATE,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor2Geo_FullName,Actor2Geo_CountryCode,ActionGeo_FullName,ActionGeo_CountryCode,DATEADDED,keyword_relevant,coffee_country_relevant,coffee_country_name_relevant,event_date,trading_date,Close,Open,High,Low,Volume,return_1d,future_close_1d,future_close_5d,future_close_10d,future_close_20d,future_return_1d,future_return_5d,future_return_10d,future_return_20d,realized_vol_20d,abs_return_5d_p95,Open_Interest_All,managed_money_net,commercial_net,noncommercial_net,managed_money_weekly_net_change,commercial_weekly_net_change,noncommercial_weekly_net_change,open_interest_change_pct,event_to_trade_lag_days,event_summary,primary_country,relevance_score_0_1,event_intensity_score_0_1,price_response_score_0_1,impact_direction,direction_alignment_score_0_1,rule_impact_score_0_1,ollama_impact_score_0_1,ollama_direction,ollama_rationale,ollama_status,final_impact_score_0_1,impact_bucket
32312054,20000517,BEL,BRUSSELS,BEL,,MEX,MEXICO,MEX,,1,190,190,19,4,-10.0,18,1,18,7.15630885122411,Mexico,MX,Mexico,MX,Mexico,MX,20130203,False,True,True,2000-05-17,2000-05-17,91.8000030517578,92.25,92.25,90.3499984741211,296.0,-0.004878015699102511,91.5,101.8499984741211,94.4499969482422,88.1500015258789,-0.0032680069911179555,0.10947707067827661,0.028867034949773496,-0.039760363883876826,0.3697030467963628,0.07124223472322581,51422.0,,-17.0,-3335.0,,3144.0,-2757.0,0.0390105402356967,0,BRUSSELS -> MEXICO; event code 190; Goldstein -10.0; tone 7.15630885122411; Mexico,MX,0.65,0.7073239271407077,1.0,bullish,1.0,0.7967577425137699,,,,not_selected_for_ollama,0.7967577425137699,strong
32316296,20000517,IDN,INDONESIA,IDN,,,,,,1,120,120,12,3,-4.0,22,1,22,9.36561832624026,"Jakarta, Jakarta Raya, Indonesia",ID,,,"Jakarta, Jakarta Raya, Indonesia",ID,20130203,False,True,True,2000-05-17,2000-05-17,91.8000030517578,92.25,92.25,90.3499984741211,296.0,-0.004878015699102511,91.5,101.8499984741211,94.4499969482422,88.1500015258789,-0.0032680069911179555,0.10947707067827661,0.028867034949773496,-0.039760363883876826,0.3697030467963628,0.07124223472322581,51422.0,,-17.0,-3335.0,,3144.0,-2757.0,0.0390105402356967,0,"INDONESIA -> unknown target; event code 120; Goldstein -4.0; tone 9.36561832624026; Jakarta, Jakarta Raya, Indonesia",ID,0.65,0.7068919581873784,1.0,bullish,1.0,0.7966540699649708,,,,not_selected_for_ollama,0.7966540699649708,strong
32321715,20000517,RWA,RWANDAN,RWA,,UGA,UGANDAN,UGA,,1,190,190,19,4,-10.0,25,2,19,4.18249864826443,Rwanda,RW,"Kampala, Kampala, Uganda",UG,"Kampala, Kampala, Uganda",UG,20130203,False,True,True,2000-05-17,2000-05-17,91.8000030517578,92.25,92.25,90.3499984741211,296.0,-0.004878015699102511,91.5,101.8499984741211,94.4499969482422,88.1500015258789,-0.0032680069911179555,0.10947707067827661,0.028867034949773496,-0.039760363883876826,0.3697030467963628,0.07124223472322581,51422.0,,-17.0,-3335.0,,3144.0,-2757.0,0.0390105402356967,0,"RWANDAN -> UGANDAN; event code 190; Goldstein -10.0; tone 4.18249864826443; Kampala, Kampala, Uganda",UG,0.65,0.7017587787465001,1.0,bullish,1.0,0.79542210689916,,,,not_selected_for_ollama,0.79542210689916,strong
32322904,20000517,UGA,UGANDAN,UGA,,RWA,RWANDAN,RWA,,1,190,190,19,4,-10.0,25,2,19,4.18249864826443,"Kampala, Kampala, Uganda",UG,Rwanda,RW,"Kampala, Kampala, Uganda",UG,20130203,False,True,True,2000-05-17,2000-05-17,91.8000030517578,92.25,92.25,90.3499984741211,296.0,-0.004878015699102511,91.5,101.8499984741211,94.4499969482422,88.1500015258789,-0.0032680069911179555,0.10947707067827661,0.028867034949773496,-0.039760363883876826,0.3697030467963628,0.07124223472322581,51422.0,,-17.0,-3335.0,,3144.0,-2757.0,0.0390105402356967,0,"UGANDAN -> RWANDAN; event code 190; Goldstein -10.0; tone 4.18249864826443; Kampala, Kampala, Uganda",UG,0.65,0.7017587787465001,1.0,bullish,1.0,0.79542210689916,,,,not_selected_for_ollama,0.79542210689916,strong
32318824,20000517,MED,WRITER,,MED,,,,,1,120,120,12,3,-4.0,23,3,23,6.36641964796099,United Kingdom,UK,,,"Bombay, Maharashtra, India",IN,20130203,False,True,True,2000-05-17,2000-05-17,91.8000030517578,92.25,92.25,90.3499984741211,296.0,-0.004878015699102511,91.5,101.8499984741211,94.4499969482422,88.1500015258789,-0.0032680069911179555,0.10947707067827661,0.028867034949773496,-0.039760363883876826,0.3697030467963628,0.07124223472322581,51422.0,,-17.0,-3335.0,,3144.0,-2757.0,0.0390105402356967,0,"WRITER -> unknown target; event code 120; Goldstein -4.0; tone 6.36641964796099; Bombay, Maharashtra, India",IN,0.65,0.6994722763448719,1.0,bullish,1.0,0.7948733463227693,,,,not_selected_for_ollama,0.7948733463227693,strong
32315922,20000517,GOV,PRESIDENT,,GOV,VNM,VIETNAM,VNM,,0,190,190,19,4,-10.0,10,1,10,10.4596935376416,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,20130203,False,True,True,2000-05-17,2000-05-17,91.8000030517578,92.25,92.25,90.3499984741211,296.0,-0.004878015699102511,91.5,101.8499984741211,94.4499969482422,88.1500015258789,-0.0032680069911179555,0.10947707067827661,0.028867034949773496,-0.039760363883876826,0.3697030467963628,0.07124223472322581,51422.0,,-17.0,-3335.0,,3144.0,-2757.0,0.0390105402356967,0,"PRESIDENT -> VIETNAM; event code 190; Goldstein -10.0; tone 10.4596935376416; Hanoi, Ha N?i, Vietnam, Republic Of",VM,0.65,0.6973112193211126,1.0,bullish,1.0,0.794354692637067,,,,not_selected_for_ollama,0.794354692637067,strong
32323753,20000517,VNM,VIETNAM,VNM,,GOV,PRESIDENT,,GOV,0,190,190,19,4,-10.0,10,1,10,10.4596935376416,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,20130203,False,True,True,2000-05-17,2000-05-17,91.8000030517578,92.25,92.25,90.3499984741211,296.0,-0.004878015699102511,91.5,101.8499984741211,94.4499969482422,88.1500015258789,-0.0032680069911179555,0.10947707067827661,0.028867034949773496,-0.039760363883876826,0.3697030467963628,0.07124223472322581,51422.0,,-17.0,-3335.0,,3144.0,-2757.0,0.0390105402356967,0,"VIETNAM -> PRESIDENT; event code 190; Goldstein -10.0; tone 10.4596935376416; Hanoi, Ha N?i, Vietnam, Republic Of",VM,0.65,0.6973112193211126,1.0,bullish,1.0,0.794354692637067,,,,not_selected_for_ollama,0.794354692637067,strong
32314041,20000517,ERI,ERITREA,ERI,,ETH,ETHIOPIA,ETH,,1,120,120,12,3,-4.0,25,2,25,6.34574468085107,"Barentu, Gash Barka, Eritrea",ER,Ethiopia,ET,Ethiopia,ET,20130203,False,True,True,2000-05-17,2000-05-17,91.8000030517578,92.25,92.25,90.3499984741211,296.0,-0.004878015699102511,91.5,101.8499984741211,94.4499969482422,88.1500015258789,-0.0032680069911179555,0.10947707067827661,0.028867034949773496,-0.039760363883876826,0.3697030467963628,0.07124223472322581,51422.0,,-17.0,-3335.0,,3144.0,-2757.0,0.0390105402356967,0,ERITREA -> ETHIOPIA; event code 120; Goldstein -4.0; tone 6.34574468085107; Ethiopia,ET,0.65,0.6930933243725054,1.0,bullish,1.0,0.7933423978494013,,,,not_selected_for_ollama,0.7933423978494013,strong
32314054,20000517,ERI,ERITREA,ERI,,INT,INTERNATIONAL COMMUNITY,,INT,1,130,130,13,3,-4.4,25,2,25,6.34574468085107,"Barentu, Gash Barka, Eritrea",ER,Ethiopia,ET,"Barentu, Gash Barka, Eritrea",ER,20130203,False,True,True,2000-05-17,2000-05-17,91.8000030517578,92.25,92.25,90.3499984741211,296.0,-0.004878015699102511,91.5,101.8499984741211,94.4499969482422,88.1500015258789,-0.0032680069911179555,0.10947707067827661,0.028867034949773496,-0.039760363883876826,0.3697030467963628,0.07124223472322581,51422.0,,-17.0,-3335.0,,3144.0,-2757.0,0.0390105402356967,0,"ERITREA -> INTERNATIONAL COMMUNITY; event code 130; Goldstein -4.4; tone 6.34574468085107; Barentu, Gash Barka, Eritrea",ER,0.65,0.6930933243725054,1.0,bullish,1.0,0.7933423978494013,,,,not_selected_for_ollama,0.7933423978494013,strong
32314151,20000517,ETH,ETHIOPIA,ETH,,ERI,ERITREA,ERI,,1,190,190,19,4,-10.0,20,2,20,4.19866233249924,Ethiopia,ET,Ethiopia,ET,Ethiopia,ET,20130203,False,True,True,2000-05-17,2000-05-17,91.8000030517578,92.25,92.25,90.3499984741211,296.0,-0.004878015699102511,91.5,101.8499984741211,94.4499969482422,88.1500015258789,-0.0032680069911179555,0.10947707067827661,0.028867034949773496,-0.039760363883876826,0.3697030467963628,0.07124223472322581,51422.0,,-17.0,-3335.0,,3144.0,-2757.0,0.0390105402356967,0,ETHIOPIA -> ERITREA; event code 190; Goldstein -10.0; tone 4.19866233249924; Ethiopia,ET,0.65,0.691881414042657,1.0,bullish,1.0,0.7930515393702376,,,,not_selected_for_ollama,0.7930515393702376,strong
