feature,importance,feature_set,model
close_vs_ma_63,0.25908111931016675,baseline_no_events,extra_trees_shallow
commercial_weekly_net_change,0.19119111422789695,baseline_no_events,extra_trees_shallow
noncommercial_weekly_net_change,0.17693221380418414,baseline_no_events,extra_trees_shallow
return_20d,0.12264559435340751,baseline_no_events,extra_trees_shallow
realized_vol_20d,0.11521363989797291,baseline_no_events,extra_trees_shallow
return_5d,0.05201079966962035,baseline_no_events,extra_trees_shallow
weather_colombia_huila_stress_index,0.03700027488585545,baseline_no_events,extra_trees_shallow
weather_vietnam_dak_lak_stress_index,0.01853401805786719,baseline_no_events,extra_trees_shallow
weather_brazil_minas_gerais_stress_index,0.012977116145499786,baseline_no_events,extra_trees_shallow
close_to_open_pct,0.004813093282970726,baseline_no_events,extra_trees_shallow
volume_change_pct,0.0035059019703527644,baseline_no_events,extra_trees_shallow
return_1d,0.0031507830134138346,baseline_no_events,extra_trees_shallow
range_pct,0.0029443313807916128,baseline_no_events,extra_trees_shallow
event_day_count,0.22571405683148768,event_safe,extra_trees_shallow
neutral_event_count,0.16733411362067613,event_safe,extra_trees_shallow
gdelt_intensity_x_volume,0.08144219296836686,event_safe,extra_trees_shallow
bearish_event_count,0.07724559196559261,event_safe,extra_trees_shallow
producer_country_event_count,0.06617550449911451,event_safe,extra_trees_shallow
unique_event_ids,0.06257413300172306,event_safe,extra_trees_shallow
event_count,0.06128532257714447,event_safe,extra_trees_shallow
bullish_event_count,0.05009920397514271,event_safe,extra_trees_shallow
gdelt_log_event_count,0.04274239213310915,event_safe,extra_trees_shallow
event_volume_score_0_1,0.04174531833663087,event_safe,extra_trees_shallow
realized_vol_20d,0.04130012875995803,event_safe,extra_trees_shallow
close_vs_ma_63,0.026664603191565252,event_safe,extra_trees_shallow
weather_colombia_huila_stress_index,0.018449997102086894,event_safe,extra_trees_shallow
return_20d,0.008647899237295241,event_safe,extra_trees_shallow
mean_event_intensity_score_0_1,0.004910155795666695,event_safe,extra_trees_shallow
gdelt_neutral_share,0.003695387148689552,event_safe,extra_trees_shallow
gdelt_bearish_share,0.0036002729765345076,event_safe,extra_trees_shallow
close_to_open_pct,0.0027348667564407615,event_safe,extra_trees_shallow
commercial_weekly_net_change,0.002718346233924805,event_safe,extra_trees_shallow
weather_vietnam_dak_lak_stress_index,0.002422190176769484,event_safe,extra_trees_shallow
weather_brazil_minas_gerais_stress_index,0.0019741967976329967,event_safe,extra_trees_shallow
return_5d,0.0018332102757069625,event_safe,extra_trees_shallow
gdelt_bullish_share,0.001309343870157921,event_safe,extra_trees_shallow
direction_concentration_score_0_1,0.0012749087433162336,event_safe,extra_trees_shallow
noncommercial_weekly_net_change,0.0007116892606483775,event_safe,extra_trees_shallow
gdelt_net_bullish_share,0.00069946198122414,event_safe,extra_trees_shallow
return_1d,0.0006162628640835234,event_safe,extra_trees_shallow
range_pct,7.582770494808667e-05,event_safe,extra_trees_shallow
volume_change_pct,3.4212143625173298e-06,event_safe,extra_trees_shallow
gdelt_producer_country_share,0.0,event_safe,extra_trees_shallow
gdelt_explicit_coffee_share,0.0,event_safe,extra_trees_shallow
explicit_coffee_event_count,0.0,event_safe,extra_trees_shallow
event_day_count,0.23760501522780988,event_scored_explanatory,extra_trees_shallow
neutral_event_count,0.17970253045369441,event_scored_explanatory,extra_trees_shallow
gdelt_intensity_x_volume,0.07122707370364965,event_scored_explanatory,extra_trees_shallow
bullish_event_count,0.0688151721212889,event_scored_explanatory,extra_trees_shallow
producer_country_event_count,0.06852413180150217,event_scored_explanatory,extra_trees_shallow
event_count,0.06454901368312976,event_scored_explanatory,extra_trees_shallow
unique_event_ids,0.06353224058705144,event_scored_explanatory,extra_trees_shallow
gdelt_log_event_count,0.0449112541218407,event_scored_explanatory,extra_trees_shallow
bearish_event_count,0.03738254752408624,event_scored_explanatory,extra_trees_shallow
realized_vol_20d,0.0294706694982286,event_scored_explanatory,extra_trees_shallow
close_vs_ma_63,0.026161329015252553,event_scored_explanatory,extra_trees_shallow
event_volume_score_0_1,0.025032294573935045,event_scored_explanatory,extra_trees_shallow
weather_colombia_huila_stress_index,0.02090899438663926,event_scored_explanatory,extra_trees_shallow
deterministic_period_score_0_1,0.018595406843666996,event_scored_explanatory,extra_trees_shallow
ollama_confidence_0_1,0.009167071370084656,event_scored_explanatory,extra_trees_shallow
return_20d,0.00841975110294308,event_scored_explanatory,extra_trees_shallow
gdelt_neutral_share,0.00490281796257083,event_scored_explanatory,extra_trees_shallow
weather_vietnam_dak_lak_stress_index,0.004566659513944518,event_scored_explanatory,extra_trees_shallow
gdelt_bullish_share,0.004396374374856416,event_scored_explanatory,extra_trees_shallow
weather_brazil_minas_gerais_stress_index,0.002609016370958013,event_scored_explanatory,extra_trees_shallow
close_to_open_pct,0.0021546863388445412,event_scored_explanatory,extra_trees_shallow
commercial_weekly_net_change,0.0018977284750726691,event_scored_explanatory,extra_trees_shallow
gdelt_net_bullish_share,0.0011320729909501683,event_scored_explanatory,extra_trees_shallow
final_period_impact_score_0_1,0.001073048551916443,event_scored_explanatory,extra_trees_shallow
gdelt_bearish_share,0.0009635510107371912,event_scored_explanatory,extra_trees_shallow
noncommercial_weekly_net_change,0.000709722253048108,event_scored_explanatory,extra_trees_shallow
return_5d,0.0006369167788318473,event_scored_explanatory,extra_trees_shallow
mean_event_intensity_score_0_1,0.00037941887957172727,event_scored_explanatory,extra_trees_shallow
range_pct,0.00032447047593180855,event_scored_explanatory,extra_trees_shallow
volume_change_pct,0.00024700782611522033,event_scored_explanatory,extra_trees_shallow
return_1d,2.0121818471203205e-06,event_scored_explanatory,extra_trees_shallow
gdelt_producer_country_share,0.0,event_scored_explanatory,extra_trees_shallow
ollama_period_impact_score_0_1,0.0,event_scored_explanatory,extra_trees_shallow
gdelt_explicit_coffee_share,0.0,event_scored_explanatory,extra_trees_shallow
direction_concentration_score_0_1,0.0,event_scored_explanatory,extra_trees_shallow
explicit_coffee_event_count,0.0,event_scored_explanatory,extra_trees_shallow
gdelt_ollama_bullish,0.0,event_scored_explanatory,extra_trees_shallow
gdelt_ollama_bearish,0.0,event_scored_explanatory,extra_trees_shallow
gdelt_ollama_neutral,0.0,event_scored_explanatory,extra_trees_shallow
