Date,window_start,window_end,actual_return_5d,predicted_return_5d,abs_return_error,absolute_price_error,article_count,weighted_news_score,max_weekly_strength_score,aligned_article_count,news_direction,news_aligned_with_actual_move,strong_weekly_news_effect,dominant_shift_context,top_news_titles,news_explanation
2026-06-26,2026-06-22,2026-07-03,0.2692241053427422,-0.0028868740642094,0.2721109794069516,78.02782334494333,8,-2.0,1.75,0,bearish,False,False,Pct_of_OI_Other_Rept_Short_Old z=5.9; Other_Rept_Positions_Short_Old z=4.1; Other_Rept_Positions_Short_ALL z=3.7; Pct_of_OI_Other_Rept_Short_All z=3.3,"World Coffee Prices 2026: Arabica, Robusta & Price Predictions | Coffee price analysis: Falling wedge pattern readies market for a breakout | Coffee (Arabica) Price Today — Chart, History & 2026 Forecast",moderate/weak bearish news signal versus an actual upward weekly move; matched: falling.
2024-04-10,2024-04-06,2024-04-17,0.1551362869724413,-0.0010314345437674,0.1561677215162087,33.52140047028209,8,0.0,0.75,0,mixed/none,False,False,Pct_of_OI_Comm_Long_All z=2.8; NonComm_Positions_Long_All z=2.6; Pct_of_OI_NonComm_Long_Other z=2.4; Pct_of_OI_NonComm_Spread_All z=2.3,Arabica Coffee 4/5 Futures Historical Prices - Investing.com | Coffee C Futures Pricing | Arabica Coffee 4/5 Futures Price Today - Investing.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2025-04-21,2025-04-17,2025-04-28,0.1492639090023697,-7.315529193454669e-05,0.1493370642943043,54.77683336018856,8,-3.0,2.0,0,bearish,False,False,weather_colombia_huila_shortwave_radiation_sum_roll20 z=1.6; Pct_of_OI_Comm_Long_All z=1.3; noncommercial_net z=1.2; Pct_of_OI_NonComm_Long_Other z=1.0,Arabica Coffee 4/5 Futures Historical Prices - Investing.com | Arabica Coffee 4/5 Futures Price Today - Investing.com | Coffee (Arabica) price information - FT.com,moderate/weak bearish news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2025-08-14,2025-08-10,2025-08-21,0.1493108728943337,0.0001378120463599,0.1491730608479738,48.70500436686348,8,0.0,0.5,0,mixed/none,False,False,Pct_of_OI_NonComm_Spread_All z=2.5; Pct_of_OI_Comm_Long_All z=2.1; weather_colombia_huila_temperature_2m_max_roll20 z=1.6; weather_colombia_huila_temperature_2m_mean_roll20 z=1.5,Coffee - Price - Chart - Historical Data - News | Coffee C Futures Pricing | Coffee (Arabica) price information - FT.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2025-09-16,2025-09-12,2025-09-23,-0.170751938670256,-0.0225106918219112,0.1482412468483447,-62.59486648171355,8,1.0,5.0,1,bullish,False,True,Pct_of_OI_Swap_Short_All z=3.5; Traders_Swap_Short_Old z=3.4; Traders_Swap_Short_All z=3.4; swap_dealer_net z=3.4,"Coffee C Futures Pricing | Coffee News Recap, 19 Sep: Arabica futures drop sharply from near ... | Coffee - Price - Chart - Historical Data - News","strong bullish news signal versus an actual downward weekly move; matched: drop, drop sharply."
2025-12-11,2025-12-07,2025-12-18,-0.1479837173352033,-0.0003228846077161,0.1476608327274872,-59.86908643186007,8,-2.0,2.0,1,bearish,True,False,Pct_of_OI_Comm_Long_All z=2.9; Pct_of_OI_NonComm_Long_Other z=2.0; Pct_of_OI_Comm_Long_Other z=1.8; Pct_of_OI_NonComm_Spread_All z=1.6,Coffee - Price - Chart - Historical Data - News | Coffee Dec '25 Futures Price - Barchart.com | US Coffee C Futures Historical Prices - Investing.com,moderate/weak bearish news signal versus an actual downward weekly move; matched: no high-impact keyword cluster.
2026-06-29,2026-06-25,2026-07-06,0.1391274446954087,-0.0030515214983656,0.1421789661937744,41.388297926799225,8,0.0,0.75,0,mixed/none,False,False,Pct_of_OI_Other_Rept_Short_Old z=5.9; Other_Rept_Positions_Short_Old z=4.1; Other_Rept_Positions_Short_ALL z=3.7; Pct_of_OI_Other_Rept_Short_All z=3.3,"World Coffee Prices 2026: Arabica, Robusta & Price Predictions | Coffee (Arabica) Price Today — Chart, History & 2026 Forecast | Arabica Coffee 4/5 Sep '26 Futures Price - Barchart.com",moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2025-12-12,2025-12-08,2025-12-19,-0.1423716429320539,-0.0004703861657424,0.1419012567663115,-56.36318091977199,8,0.0,0.5,0,mixed/none,False,False,Traders_Swap_Short_All z=3.7; Traders_Swap_Short_Old z=3.7; Pct_of_OI_Swap_Short_All z=3.7; Pct_of_OI_Other_Rept_Short_All z=3.3,Coffee Dec '25 Futures Price - Barchart.com | Coffee C Futures Pricing | US Coffee C Futures Historical Prices - Investing.com,moderate/weak mixed news signal versus an actual downward weekly move; matched: no high-impact keyword cluster.
2025-08-15,2025-08-11,2025-08-22,0.1434216328856319,0.002304020291034,0.1411176125945979,48.212831481630815,8,0.0,0.5,0,mixed/none,False,False,Pct_of_OI_Comm_Long_All z=2.1; Pct_of_OI_NonComm_Spread_All z=2.1; weather_colombia_huila_shortwave_radiation_sum_roll20 z=1.7; weather_colombia_huila_temperature_2m_max_roll20 z=1.7,Coffee C Futures Pricing | Coffee Prices and Coffee Futures Prices - Barchart.com | Live Coffee Arabica Price & Charts | CommodityPriceAPI,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2024-12-03,2024-11-29,2024-12-10,0.1274772594334372,-0.0086943763121661,0.1361716357456034,40.53829762371754,8,0.0,0.5,0,mixed/none,False,False,Pct_of_OI_Comm_Long_All z=2.8; noncommercial_net z=2.4; NonComm_Positions_Long_All z=2.2; Pct_of_OI_NonComm_Long_Other z=1.8,Coffee (Arabica) price information - FT.com | Coffee C Futures Pricing | Coffee Arabica Price (Monthly) - Historical Data & Trends,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
