test_year,train_start,train_end,valid_start,valid_end,test_start,test_end,train_rows,valid_rows,test_rows,selected_strategy,selected_model,valid_global_model,valid_global_accuracy,valid_regime_accuracy,test_global_accuracy,test_regime_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
2012,2000-01-03,2010-12-31,2011-01-04,2011-12-30,2012-01-03,2012-12-31,2747,251,250,regime_specific,per_regime_LogisticRegression,logistic_l2,0.5617529880478087,0.5776892430278885,0.556,0.468,0.468,0.34375,0.4731182795698925,0.39819004524886875,0.4708581603999726
2013,2000-01-03,2011-12-30,2012-01-03,2012-12-31,2013-01-02,2013-12-31,2998,250,252,global,ensemble_top2_weighted_soft_vote,ensemble_top2_weighted_soft_vote,0.588,0.46,0.44841269841269843,0.5119047619047619,0.44841269841269843,0.45121951219512196,0.9652173913043478,0.6149584487534626,0.5303078387813394
2014,2000-01-03,2012-12-31,2013-01-02,2013-12-31,2014-01-02,2014-12-31,3248,252,251,regime_specific,per_regime_RandomForestClassifier,random_forest_fast,0.5357142857142857,0.5476190476190477,0.5258964143426295,0.4820717131474104,0.4820717131474104,0.4230769230769231,0.2796610169491525,0.336734693877551,0.36822989677583795
2015,2000-01-03,2013-12-31,2014-01-02,2014-12-31,2015-01-02,2015-12-31,3500,251,252,global,random_forest_fast,random_forest_fast,0.5258964143426295,0.4820717131474104,0.5317460317460317,0.5357142857142857,0.5317460317460317,0.5165562913907285,0.6341463414634146,0.5693430656934306,0.5113758114325329
2016,2000-01-03,2014-12-31,2015-01-02,2015-12-31,2016-01-04,2016-12-30,3751,252,250,regime_specific,per_regime_VotingClassifier,ensemble_top2_weighted_soft_vote,0.5357142857142857,0.5515873015873016,0.528,0.596,0.596,0.5794871794871795,0.8560606060606061,0.691131498470948,0.529532614278377
2017,2000-01-03,2015-12-31,2016-01-04,2016-12-30,2017-01-03,2017-12-29,4003,250,251,regime_specific,per_regime_GradientBoostingClassifier,gradient_boosting_fast,0.528,0.532,0.5537848605577689,0.4940239043824701,0.4940239043824701,0.4961832061068702,0.5158730158730159,0.5058365758754864,0.5622857142857143
2018,2000-01-03,2016-12-30,2017-01-03,2017-12-29,2018-01-02,2018-12-31,4253,251,251,global,ensemble_top2_weighted_soft_vote,ensemble_top2_weighted_soft_vote,0.5816733067729084,0.5697211155378487,0.4262948207171315,0.43824701195219123,0.4262948207171315,0.3883495145631068,0.8163265306122449,0.5263157894736842,0.47052154195011336
2019,2000-01-03,2017-12-29,2018-01-02,2018-12-31,2019-01-02,2019-12-31,4504,251,252,regime_specific,per_regime_ExtraTreesClassifier,extra_trees_fast,0.43824701195219123,0.5139442231075697,0.4603174603174603,0.4801587301587302,0.4801587301587302,0.45081967213114754,0.46218487394957986,0.45643153526970953,0.4804448095027484
2020,2000-01-03,2018-12-31,2019-01-02,2019-12-31,2020-01-02,2020-12-31,4755,252,253,regime_specific,per_regime_VotingClassifier,ensemble_top2_weighted_soft_vote,0.5198412698412699,0.5198412698412699,0.6245059288537549,0.5612648221343873,0.5612648221343873,0.5949367088607594,0.373015873015873,0.4585365853658537,0.5541182352205973
2021,2000-01-03,2019-12-31,2020-01-02,2020-12-31,2021-01-04,2021-12-31,5007,253,252,global,ensemble_top2_weighted_soft_vote,ensemble_top2_weighted_soft_vote,0.6205533596837944,0.5612648221343873,0.5198412698412699,0.4801587301587302,0.5198412698412699,0.6666666666666666,0.36486486486486486,0.47161572052401746,0.5262474012474013
2022,2000-01-03,2020-12-31,2021-01-04,2021-12-31,2022-01-03,2022-12-30,5260,252,251,global,logistic_l2,logistic_l2,0.5436507936507936,0.4801587301587302,0.4302788844621514,0.46613545816733065,0.4302788844621514,0.4302788844621514,1.0,0.6016713091922006,0.4917119917119917
2023,2000-01-03,2021-12-31,2022-01-03,2022-12-30,2023-01-03,2023-12-29,5512,251,251,regime_specific,per_regime_VotingClassifier,ensemble_top2_weighted_soft_vote,0.5776892430278885,0.5816733067729084,0.6573705179282868,0.5099601593625498,0.5099601593625498,0.48936170212765956,0.575,0.5287356321839081,0.48969465648854965
2024,2000-01-03,2022-12-30,2023-01-03,2023-12-29,2024-01-02,2024-12-31,5763,251,252,global,ensemble_top2_weighted_soft_vote,ensemble_top2_weighted_soft_vote,0.6573705179282868,0.5099601593625498,0.46825396825396826,0.49603174603174605,0.46825396825396826,0.6428571428571429,0.18493150684931506,0.2872340425531915,0.5423882140087878
2025,2000-01-03,2023-12-29,2024-01-02,2024-12-31,2025-01-02,2025-12-31,6014,252,252,regime_specific,per_regime_VotingClassifier,ensemble_top2_weighted_soft_vote,0.49603174603174605,0.5357142857142857,0.4880952380952381,0.4722222222222222,0.4722222222222222,0.49606299212598426,0.4772727272727273,0.4864864864864865,0.49356060606060603
2026,2000-01-03,2024-12-31,2025-01-02,2025-12-31,2026-01-02,2026-09-01,6266,252,167,global,extra_trees_fast,extra_trees_fast,0.6468253968253969,0.5873015873015873,0.5089820359281437,0.5269461077844312,0.5089820359281437,0.43636363636363634,0.32,0.36923076923076925,0.4771014492753623
