Date,region,region_label,weather_drift_score
2000-01-03,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-04,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-05,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-06,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-07,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-10,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-11,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-12,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-13,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-14,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-18,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-19,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-20,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-21,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-24,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-25,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-26,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-27,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-28,brazil_minas_gerais,Brazil Minas Gerais,
2000-01-31,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-01,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-02,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-03,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-04,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-07,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-08,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-09,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-10,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-11,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-14,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-15,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-16,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-17,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-18,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-22,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-23,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-24,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-25,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-28,brazil_minas_gerais,Brazil Minas Gerais,
2000-02-29,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-01,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-02,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-03,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-06,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-07,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-08,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-09,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-10,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-13,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-14,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-15,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-16,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-17,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-20,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-21,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-22,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-23,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-24,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-27,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-28,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-29,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-30,brazil_minas_gerais,Brazil Minas Gerais,
2000-03-31,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-03,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-04,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-05,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-06,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-07,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-10,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-11,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-12,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-13,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-14,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-17,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-18,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-19,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-20,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-24,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-25,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-26,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-27,brazil_minas_gerais,Brazil Minas Gerais,
2000-04-28,brazil_minas_gerais,Brazil Minas Gerais,
2000-05-01,brazil_minas_gerais,Brazil Minas Gerais,
2000-05-02,brazil_minas_gerais,Brazil Minas Gerais,
2000-05-03,brazil_minas_gerais,Brazil Minas Gerais,
2000-05-04,brazil_minas_gerais,Brazil Minas Gerais,
2000-05-05,brazil_minas_gerais,Brazil Minas Gerais,
2000-05-08,brazil_minas_gerais,Brazil Minas Gerais,
2000-05-09,brazil_minas_gerais,Brazil Minas Gerais,2.3221703259692172
2000-05-10,brazil_minas_gerais,Brazil Minas Gerais,2.46254877761862
2000-05-11,brazil_minas_gerais,Brazil Minas Gerais,2.5840060636507625
2000-05-12,brazil_minas_gerais,Brazil Minas Gerais,2.6871332602034603
2000-05-15,brazil_minas_gerais,Brazil Minas Gerais,2.7098984595032514
2000-05-16,brazil_minas_gerais,Brazil Minas Gerais,2.6182114785069337
2000-05-17,brazil_minas_gerais,Brazil Minas Gerais,2.470237076051609
2000-05-18,brazil_minas_gerais,Brazil Minas Gerais,2.4285793743070947
2000-05-19,brazil_minas_gerais,Brazil Minas Gerais,2.4834043130848613
2000-05-22,brazil_minas_gerais,Brazil Minas Gerais,2.52194064276309
2000-05-23,brazil_minas_gerais,Brazil Minas Gerais,2.582891047721596
2000-05-24,brazil_minas_gerais,Brazil Minas Gerais,2.6199167670723753
2000-05-25,brazil_minas_gerais,Brazil Minas Gerais,2.6705913035400672
